refcode	metal	total_charge	multiplicity	elem_nr	m_ox	d_elec	hapticity	CN	geometry	geom_nr	rel_m	splitting
UDUMEL	Fe	1	5	26	2	6	False	6	Octahedral	18	1.119	-20.53
UDURUJ	Cr	0	5	24	2	4	False	4	Square planar	7	0.962	-62.98
UDUSAQ	Cr	0	5	24	2	4	False	4	Square planar	7	0.991	-64.7
UFAWOO	Cr	0	4	24	3	3	False	6	Octahedral	18	0.965	-22.25
UFOYOF	Co	-1	4	27	2	7	False	4	Tetrahedral	8	0.983	-31.78
UFUVUP	Ni	1	3	28	2	8	False	6	Octahedral	18	1.116	-42.27
UGEKAT	Mn	1	6	25	2	5	False	7	Pentagonal bipyramidal	23	1.154	-59.59
UGINOP	Fe	0	5	26	2	6	False	4	Tetrahedral	8	1.047	-59.2
UGODAW	Ni	0	1	28	2	8	False	4	Square planar	7	0.955	30.71
UGOLOT	Fe	2	2	26	3	5	False	6	Octahedral	18	0.964	34.49
UGUNUF	Cr	0	4	24	3	3	False	6	Octahedral	18	0.969	-44.28
UHEHAQ	Fe	0	6	26	3	5	False	6	Octahedral	18	1.033	-13.02
UHEPED	Mn	2	6	25	2	5	False	7	Pentagonal bipyramidal	23	1.15	-58.28
UHIBAP	Fe	0	2	26	3	5	False	6	Octahedral	18	0.933	49.31
UHIZAM	Cr	0	4	24	3	3	False	6	Octahedral	18	0.968	-39.34
UHOXOE	Co	1	4	27	2	7	False	4	Tetrahedral	8	1.037	-31.31
UJOLEK	Co	0	1	27	3	6	False	6	Octahedral	18	0.971	52.49
UJUPAR	Co	1	4	27	2	7	False	5	Trigonal bipyramidal	13	1.11	-25.08
UJUPOF	Fe	1	5	26	2	6	False	5	Trigonal bipyramidal	13	1.093	-43.62
UJUSOI	Co	0	4	27	2	7	False	4	Tetrahedral	8	1.013	-27.59
ULANIF	Cr	0	1	24	0	5	True	5	Trigonal bipyramidal	13	0.962	137.35
ULAYUC	Cr	1	4	24	3	3	False	6	Octahedral	18	0.971	-42.59
ULEVIQ	Fe	-1	4	26	3	5	False	5	Square pyramidal	14	0.945	3.81
ULITUH	Fe	0	5	26	2	6	False	5	Square pyramidal	14	1.114	-39.19
ULONEP	Co	3	1	27	3	6	False	6	Octahedral	18	0.998	64.71
ULOVEY	Fe	0	5	26	2	6	False	4	Tetrahedral	8	1.012	-52.94
ULOVUO	Fe	0	5	26	2	6	False	3	Trigonal planar	3	0.939	-35.18
ULOXUQ	Fe	0	5	26	2	6	False	3	Trigonal planar	3	0.962	-73.46
UMIPIP	Mn	2	6	25	2	5	False	6	Octahedral	18	1.109	-46.22
UMIZUL	Co	0	4	27	2	7	False	5	Trigonal bipyramidal	13	1.098	-13.19
UMUBAF	Ni	1	1	28	2	8	False	4	Square planar	7	0.931	35.08
UMUJUK	Co	0	4	27	2	7	False	4	Tetrahedral	8	0.986	-17.3
UNEHIG	Fe	1	5	26	2	6	False	4	Tetrahedral	8	1.042	-46.41
UNEREL	Cr	0	5	24	2	4	False	4	Square planar	7	0.996	-67.13
UNILIN	Ni	0	1	28	2	8	False	4	Square planar	7	0.924	32.96
UNOFEJ	Ni	0	1	28	2	8	False	4	Square planar	7	0.896	52.47
UNOJIR	Ni	0	1	28	2	8	True	2	Linear	0	1.035	29.88
UNONOB	Mn	0	6	25	2	5	False	7	Pentagonal bipyramidal	23	1.174	-63.1
UPIDIH	Ni	1	1	28	2	8	False	4	Square planar	7	0.981	49.04
UPIFUV	Fe	0	5	26	2	6	False	5	Square pyramidal	14	1.058	-33.42
UPIMAI	Fe	0	5	26	2	6	False	4	Tetrahedral	8	0.992	-39.81
UQAREK	Ni	0	1	28	2	8	False	4	Square planar	7	0.969	16.8
URIRUL	Ni	0	1	28	2	8	False	6	Octahedral	18	1.148	26.77
URUKIC	Co	0	1	27	1	8	True	4	Tetrahedral	8	0.967	58.8
URUKUO	Co	0	1	27	1	8	True	4	Tetrahedral	8	1.009	40.76
USORUS	Ni	1	3	28	2	8	False	6	Octahedral	18	1.121	-41.79
UTEMIR	Ni	0	1	28	2	8	False	4	Square planar	7	0.89	38.93
UTEMOX	Ni	0	1	28	2	8	False	4	Square planar	7	0.894	35.29
UTODAK	Mn	0	1	25	1	6	False	6	Octahedral	18	0.878	107.22
UWIFOW	Ni	1	3	28	2	8	False	6	Octahedral	18	1.145	-39.45
UWIPEW	Ni	0	3	28	2	8	False	5	Trigonal bipyramidal	13	1.132	-32.21
UWIPOG	Ni	0	3	28	2	8	False	5	Square pyramidal	14	1.102	-24.56
UWUYER	Cr	0	4	24	3	3	False	5	Square pyramidal	14	0.924	-21.84
UXOBEQ	Ni	0	3	28	2	8	False	4	Tetrahedral	8	1.011	-38.54
UXOHAS02	Ni	0	3	28	2	8	False	4	Tetrahedral	8	1.027	-37.46
UYAHOS	Mn	0	6	25	2	5	False	6	Trigonal prismatic	19	1.099	-38.7
UYAKAI	Cr	0	4	24	3	3	False	6	Octahedral	18	0.946	-21.42
UYIFUF02	Co	0	4	27	2	7	False	4	Tetrahedral	8	1.029	-17.36
UZEVUR	Mn	1	5	25	3	4	False	5	Square pyramidal	14	0.985	-48.33
UZEXON	Co	0	3	27	1	8	False	3	Trigonal planar	3	0.98	-18.86
UZEXUT	Co	0	3	27	1	8	True	2	Linear	0	1.096	-25.29
UZEYEE	Co	0	1	27	1	8	False	4	Square planar	7	0.889	36.94
VABFIQ	Fe	0	5	26	2	6	False	5	Trigonal bipyramidal	13	1.067	-43.77
VABKUE	Co	2	1	27	3	6	False	6	Octahedral	18	1.022	68.98
VABTOH	Cr	0	5	24	2	4	False	4	Square planar	7	1.023	-59.72
VADBOR	Cr	0	1	24	0	5	True	6	Octahedral	18	0.981	140.94
VADLUH	Ni	0	1	28	0	8	True	2	Linear	0	1.08	52.42
VAFDIR	Cr	0	4	24	3	3	False	6	Octahedral	18	0.958	-19.7
VAFHAM	Co	0	1	27	1	8	False	5	Trigonal bipyramidal	13	0.893	58.47
VAHGES	Fe	1	5	26	2	6	False	6	Trigonal prismatic	19	1.152	-35.94
VAHGOC	Co	1	4	27	2	7	False	6	Octahedral	18	1.141	-15.24
VAKYOX	Fe	2	5	26	2	6	False	5	Trigonal bipyramidal	13	1.075	-36.13
VAMNAY	Cr	0	5	24	2	4	False	4	Square planar	7	0.978	-65.09
VAPCAR	Co	0	4	27	2	7	False	5	Square pyramidal	14	1.093	-22.1
VAPFEY	Co	0	4	27	2	7	False	5	Trigonal bipyramidal	13	1.086	-21.02
VAQFAU	Cr	0	5	24	2	4	False	6	Octahedral	18	1.122	-61.72
VARVIU	Co	3	1	27	3	6	False	6	Octahedral	18	0.982	69.89
VAVDOM	Mn	1	6	25	2	5	False	6	Trigonal prismatic	19	1.105	-60.82
VAWNIQ	Mn	0	5	25	3	4	False	5	Trigonal bipyramidal	13	0.942	-58.59
VAYWEY	Mn	0	6	25	2	5	False	4	Tetrahedral	8	0.975	-82.89
VEBKAQ	Co	0	4	27	2	7	False	4	Tetrahedral	8	1.003	-31.0
VECTUU	Co	0	4	27	2	7	False	4	Tetrahedral	8	1.013	-30.2
VEDXOS	Co	0	4	27	2	7	False	4	Tetrahedral	8	1.015	-23.92
VEGCEQ	Fe	1	2	26	3	5	False	6	Octahedral	18	0.967	34.42
VEHDOC	Ni	0	1	28	2	8	True	3	Trigonal planar	3	1.088	23.69
VEKNAA	Fe	-1	5	26	2	6	False	5	Square pyramidal	14	1.078	-45.55
VEKNEE	Co	-1	4	27	2	7	False	5	Square pyramidal	14	1.114	-22.73
VEKNOO	Fe	-2	4	26	3	5	False	5	Square pyramidal	14	0.947	-5.17
VEKNUU	Fe	0	6	26	3	5	False	6	Octahedral	18	1.078	-8.03
VEMYOB	Fe	0	6	26	3	5	False	4	Tetrahedral	8	0.888	-48.08
VENGUS	Fe	0	6	26	3	5	False	6	Octahedral	18	1.042	-17.45
VENJOO	Co	0	4	27	2	7	False	7	Pentagonal bipyramidal	23	1.188	-27.76
VENTAL	Co	0	4	27	2	7	False	4	Seesaw	9	1.044	-14.3
VESZUP	Co	0	1	27	3	6	False	6	Octahedral	18	0.941	49.95
VEWDIN	Ni	0	1	28	2	8	False	4	Square planar	7	0.938	22.55
VEWKIU	Cr	0	4	24	3	3	False	6	Octahedral	18	0.962	-37.48
VEWQUK	Ni	0	3	28	2	8	False	4	Seesaw	9	1.006	-10.66
VEWVEZ	Ni	0	3	28	2	8	False	5	Square pyramidal	14	1.093	-23.11
VEXLIU	Co	0	2	27	2	7	False	4	Square planar	7	0.92	29.93
VEXWON	Cr	1	4	24	3	3	False	6	Octahedral	18	0.946	-31.9
VEXXIH	Ni	0	3	28	2	8	False	4	Tetrahedral	8	0.99	-39.47
VEYTAW	Fe	-1	5	26	2	6	False	3	Trigonal planar	3	0.914	-71.94
VEYTAX	Ni	0	1	28	2	8	False	4	Square planar	7	0.973	20.67
VEYTEB	Ni	0	1	28	2	8	False	4	Square planar	7	0.928	29.75
VEYWOO	Fe	0	5	26	2	6	False	5	Square pyramidal	14	1.057	-38.4
VEYXOP	Co	0	3	27	1	8	False	3	T-shaped	6	0.998	-30.03
VIBPOM	Ni	1	1	28	2	8	False	4	Square planar	7	0.924	45.98
VIBRIK	Fe	0	5	26	2	6	False	4	Tetrahedral	8	1.011	-52.83
VIBWUZ	Ni	0	1	28	2	8	False	4	Square planar	7	0.923	23.84
VIDMIH	Co	1	1	27	3	6	False	6	Octahedral	18	0.987	85.19
VIFKED	Fe	0	4	26	3	5	False	5	Square pyramidal	14	0.952	6.23
VIFWUD	Mn	0	6	25	2	5	False	6	Octahedral	18	1.107	-51.49
VIGLOP	Ni	0	1	28	2	8	False	4	Square planar	7	0.948	38.51
VIHXAN	Ni	2	3	28	2	8	False	6	Octahedral	18	1.129	-42.05
VIJQUB	Fe	0	6	26	3	5	False	6	Octahedral	18	1.047	-17.34
VIJVIT	Ni	-2	1	28	2	8	False	4	Square planar	7	0.923	24.03
VIKYOE	Cr	1	5	24	2	4	False	4	Square planar	7	1.037	-66.96
VILRIT	Fe	0	6	26	3	5	False	5	Trigonal bipyramidal	13	0.994	-34.12
VILVIX	Co	-2	4	27	2	7	False	4	Tetrahedral	8	0.978	-17.42
VISVEA	Fe	0	5	26	2	6	False	4	Tetrahedral	8	1.014	-51.68
VIVGIQ	Co	0	1	27	3	6	True	4	Tetrahedral	8	1.03	46.46
VIWQEX	Co	-1	3	27	3	6	False	4	Square planar	7	0.893	20.37
VOBYEQ	Fe	-1	6	26	3	5	False	6	Octahedral	18	1.03	-16.53
VOCBAQ	Fe	-2	6	26	3	5	False	6	Octahedral	18	1.036	-23.27
VOCTIQ	Cr	0	4	24	3	3	False	4	Tetrahedral	8	0.905	-16.65
VOGGOO	Ni	0	1	28	2	8	False	4	Square planar	7	0.987	43.65
VOGHIJ	Fe	0	1	26	2	6	True	3	Trigonal planar	3	1.042	61.76
VOGYOG	Cr	0	4	24	3	3	False	6	Octahedral	18	0.953	-39.99
VOGYUM	Cr	-1	4	24	3	3	False	6	Octahedral	18	0.96	-38.72
VOPCIM	Ni	0	1	28	2	8	False	4	Square planar	7	0.956	22.81
VOPPAR	Fe	0	6	26	3	5	False	6	Octahedral	18	1.02	-22.47
VOPPEV	Fe	0	6	26	3	5	False	6	Octahedral	18	1.013	-22.12
VOVDIT	Fe	0	5	26	2	6	False	5	Trigonal bipyramidal	13	1.058	-37.91
VOWRAA	Cr	-1	1	24	0	5	False	6	Octahedral	18	0.856	131.67
VOYFIA	Co	0	3	27	3	6	False	5	Trigonal bipyramidal	13	0.986	-1.92
VOYJEY	Cr	0	1	24	0	5	False	6	Octahedral	18	0.84	171.67
VUCFAA	Mn	0	1	25	1	6	False	6	Octahedral	18	0.845	137.44
VUCPIU	Co	0	4	27	2	7	False	3	Trigonal planar	3	1.018	-26.57
VUCYAV	Co	1	4	27	2	7	False	6	Trigonal prismatic	19	1.193	-24.79
VUDCEF	Ni	1	1	28	2	8	True	3	Trigonal planar	3	1.005	46.0
VUDDON	Ni	0	1	28	2	8	False	5	Square pyramidal	14	0.997	21.86
VUDXOH	Fe	0	1	26	2	6	False	6	Octahedral	18	0.94	41.89
VUJLOC	Fe	0	1	26	2	6	False	6	Octahedral	18	0.948	56.46
VUJMAP	Fe	0	1	26	2	6	False	6	Octahedral	18	0.935	94.46
VUJPIZ	Co	0	1	27	1	8	False	5	Square pyramidal	14	0.878	40.89
VULMOE	Mn	0	5	25	3	4	False	5	Trigonal bipyramidal	13	1.015	-76.37
VUMCIP	Ni	0	1	28	2	8	False	4	Square planar	7	0.968	17.42
VUMFOA01	Fe	0	5	26	2	6	False	4	Tetrahedral	8	0.972	-52.54
VUMSUT	Mn	0	5	25	3	4	False	6	Octahedral	18	0.986	-61.55
VUTSUY	Ni	0	3	28	2	8	False	4	Tetrahedral	8	0.998	-22.82
VUTTAH	Cr	0	3	24	2	4	False	6	Octahedral	18	0.935	15.33
WABGOW	Ni	0	2	28	3	7	False	6	Octahedral	18	0.984	31.22
WABMOB	Mn	0	6	25	2	5	False	7	Pentagonal bipyramidal	23	1.143	-60.7
WABZAC	Ni	0	1	28	2	8	False	5	Square pyramidal	14	1.003	36.19
WACDAF	Mn	0	5	25	3	4	False	5	Trigonal bipyramidal	13	0.935	-36.56
WAFWEJ	Fe	0	5	26	2	6	False	5	Trigonal bipyramidal	13	1.065	-50.66
WAFZUA	Cr	0	4	24	3	3	True	4	Tetrahedral	8	1.03	-31.38
WAGHET	Cr	0	4	24	3	3	False	6	Octahedral	18	0.945	-21.24
WAHQEE	Co	0	4	27	2	7	False	4	Tetrahedral	8	1.012	-29.29
WAJGUL	Fe	-1	5	26	2	6	False	5	Trigonal bipyramidal	13	1.062	-44.14
WALJOL	Ni	0	1	28	0	8	False	4	Tetrahedral	8	0.889	75.63
WALJUR	Ni	0	1	28	0	8	False	4	Tetrahedral	8	0.922	58.37
WAMLEC	Mn	0	6	25	2	5	False	6	Octahedral	18	1.089	-51.01
WAMYAL	Co	0	4	27	2	7	False	6	Octahedral	18	1.123	-8.22
WAQVIT	Ni	0	1	28	2	8	False	4	Square planar	7	0.894	41.34
WASDOM	Mn	1	6	25	2	5	False	5	Square pyramidal	14	1.064	-55.78
WATSUF	Co	0	1	27	3	6	False	5	Square pyramidal	14	0.952	51.97
WAVTOF	Ni	0	1	28	0	8	False	4	Tetrahedral	8	0.894	73.35
WAVVEX	Ni	0	1	28	0	8	False	3	Trigonal planar	3	0.883	50.18
WAVWEY	Fe	0	1	26	2	6	True	4	Seesaw	9	0.957	85.8
WAWSEU	Mn	0	1	25	1	6	True	4	Tetrahedral	8	0.925	129.95
WAXJIQ	Mn	0	6	25	2	5	False	7	Capped trigonal prismatic	25	1.165	-52.31
WAZWEC	Fe	0	1	26	2	6	False	6	Octahedral	18	0.898	86.03
WEFCIT	Mn	0	6	25	2	5	False	4	Tetrahedral	8	0.966	-67.61
WEFCOZ	Mn	0	6	25	2	5	False	4	Tetrahedral	8	0.946	-75.88
WEHFOE	Ni	0	1	28	2	8	True	3	T-shaped	6	1.083	21.39
WEHWAI	Fe	-1	5	26	2	6	False	4	Tetrahedral	8	0.985	-57.65
WEHZER	Fe	0	5	26	2	6	True	4	Tetrahedral	8	1.197	-23.53
WEJKOL	Ni	0	1	28	2	8	False	4	Square planar	7	0.94	30.93
WELKED	Co	0	1	27	3	6	True	4	Tetrahedral	8	1.032	98.17
WELPIM	Co	1	1	27	3	6	False	6	Octahedral	18	0.946	82.67
WELREL	Ni	0	3	28	2	8	False	5	Square pyramidal	14	1.119	-27.45
WEMNIM	Co	1	1	27	3	6	False	6	Octahedral	18	0.985	53.83
WEMVUH	Fe	0	1	26	2	6	False	6	Octahedral	18	0.931	94.64
WEMWAO	Fe	0	1	26	2	6	False	5	Square pyramidal	14	0.851	66.45
WEPVOC	Ni	0	1	28	0	8	True	3	Trigonal planar	3	0.949	69.5
WERHUZ	Mn	0	6	25	2	5	False	5	Square pyramidal	14	1.041	-49.34
WERKIN	Co	-3	1	27	3	6	False	6	Octahedral	18	0.995	88.31
WEXYIH	Mn	0	6	25	2	5	False	6	Octahedral	18	1.106	-49.1
WIBLUO	Mn	0	1	25	1	6	False	6	Octahedral	18	0.844	125.15
WIFSEJ	Mn	0	6	25	2	5	False	6	Octahedral	18	1.094	-42.41
WIGMAA	Co	0	4	27	2	7	False	4	Tetrahedral	8	1.073	-23.84
WIGXUI	Co	0	4	27	2	7	False	5	Trigonal bipyramidal	13	1.075	-21.98
WIHFEB	Fe	2	2	26	3	5	False	6	Octahedral	18	0.944	35.87
WIJLUZ	Ni	0	1	28	2	8	False	4	Square planar	7	0.966	55.93
WIMNIR	Cr	0	4	24	3	3	False	6	Octahedral	18	0.961	-42.39
WISHUE	Fe	0	6	26	3	5	False	6	Octahedral	18	1.047	-22.54
WITBEJ	Fe	0	5	26	2	6	False	6	Octahedral	18	1.121	-31.27
WITBOT	Mn	0	6	25	2	5	False	5	Square pyramidal	14	1.081	-49.44
WIVDUB	Mn	0	5	25	3	4	False	6	Octahedral	18	0.981	-50.36
WIVQIC	Co	0	4	27	2	7	False	5	Square pyramidal	14	1.106	-8.53
WIVQOI	Ni	0	3	28	2	8	False	5	Square pyramidal	14	1.091	-22.78
WIWJOD	Co	0	4	27	2	7	False	5	Trigonal bipyramidal	13	1.09	-31.31
WIYCUF	Ni	0	1	28	2	8	False	4	Square planar	7	0.895	59.7
WIYSII	Fe	0	6	26	3	5	False	5	Square pyramidal	14	0.975	-27.02
WOBXER	Fe	1	6	26	3	5	False	6	Octahedral	18	1.061	-15.77
WOFREP	Co	0	4	27	2	7	False	4	Tetrahedral	8	1.022	-19.51
WOGMEL	Fe	2	1	26	2	6	False	6	Octahedral	18	0.917	69.14
WOJLUC	Fe	2	5	26	2	6	False	7	Capped trigonal prismatic	25	1.211	-38.06
WOKCEE	Ni	-1	2	28	3	7	False	4	Square planar	7	0.885	39.79
WOKYOL	Co	0	1	27	1	8	False	5	Trigonal bipyramidal	13	0.928	12.48
WOPGIS	Mn	-1	5	25	3	4	False	5	Square pyramidal	14	0.95	-51.74
WOTRUU	Mn	0	6	25	2	5	False	5	Square pyramidal	14	1.037	-62.94
WOVMAY	Mn	-1	1	25	1	6	True	2	Linear	0	0.964	75.64
WOWTOR	Ni	2	1	28	2	8	False	4	Square planar	7	0.964	33.1
WOZHUQ	Ni	0	1	28	2	8	True	3	Trigonal planar	3	1.006	45.15
WUBGEI	Ni	0	2	28	3	7	False	5	Square pyramidal	14	1.03	54.75
WUFFAF	Mn	0	6	25	2	5	False	5	Trigonal bipyramidal	13	1.05	-52.56
WUFVIC	Cr	0	4	24	3	3	True	4	Tetrahedral	8	1.034	-28.11
WUFVOI	Cr	0	4	24	3	3	True	4	Tetrahedral	8	1.05	-32.29
WUGCAD	Mn	0	6	25	2	5	False	2	Bent (V-shape, 109.47°)	1	0.913	-56.0
WUGCIL	Mn	0	6	25	2	5	False	3	Trigonal planar	3	0.968	-62.08
WUKDOV	Cr	1	4	24	3	3	False	5	Trigonal bipyramidal	13	0.942	-35.36
WULSEB	Fe	1	5	26	2	6	False	6	Octahedral	18	1.11	-25.09
WULSIF	Mn	1	6	25	2	5	False	6	Trigonal prismatic	19	1.108	-45.88
WUMPOL	Fe	0	5	26	2	6	False	5	Trigonal bipyramidal	13	1.08	-32.78
WUNCAK	Cr	0	5	24	2	4	False	5	Square pyramidal	14	1.037	-68.36
WUNCEO	Cr	1	5	24	2	4	False	5	Square pyramidal	14	1.042	-74.57
WUPWOU	Ni	2	3	28	2	8	False	5	Trigonal bipyramidal	13	1.08	-17.19
WURXOZ	Mn	-2	6	25	2	5	False	4	Tetrahedral	8	0.938	-77.92
WUSFEX	Fe	0	5	26	2	6	False	4	Tetrahedral	8	0.985	-41.95
WUTDAQ	Fe	0	1	26	2	6	False	6	Octahedral	18	0.905	64.06
WUTDEW	Cr	2	5	24	2	4	False	6	Octahedral	18	1.068	-48.04
WUXVOA	Ni	0	3	28	2	8	False	3	Trigonal planar	3	0.97	-6.15
WUYFIH	Mn	-3	3	25	3	4	False	6	Octahedral	18	0.911	6.63
XABHIV	Fe	1	1	26	2	6	False	6	Octahedral	18	0.856	166.1
XADCIP	Ni	0	1	28	2	8	False	4	Seesaw	9	0.903	11.03
XADCOV	Ni	0	3	28	2	8	False	4	Tetrahedral	8	1.003	-32.38
XADMAR	Ni	1	3	28	2	8	False	6	Octahedral	18	1.126	-43.57
XAGLAU	Mn	1	6	25	2	5	False	7	Capped trigonal prismatic	25	1.188	-55.08
XAHLEY	Mn	0	6	25	2	5	False	5	Trigonal bipyramidal	13	1.047	-54.68
XAHLOI	Mn	0	6	25	2	5	False	7	Pentagonal bipyramidal	23	1.16	-49.37
XAJWOU	Ni	0	1	28	2	8	False	4	Square planar	7	0.929	41.55
XAKHOI	Fe	-2	5	26	2	6	False	6	Octahedral	18	1.118	-30.95
XAKPUU	Co	4	1	27	3	6	False	6	Octahedral	18	0.999	73.49
XARGON	Ni	0	3	28	2	8	False	4	Tetrahedral	8	0.996	-39.42
XAWJUB	Ni	0	2	28	3	7	True	3	Trigonal planar	3	1.031	38.64
XAWVEX	Ni	0	1	28	2	8	False	4	Square planar	7	0.968	23.16
XAXYEC	Fe	0	1	26	2	6	False	6	Octahedral	18	0.898	103.19
XEFXEM	Cr	0	1	24	2	4	True	3	Trigonal planar	3	1.009	70.54
XEFYAJ	Cr	1	2	24	3	3	True	3	Trigonal planar	3	1.026	25.51
XEGPEF	Ni	0	1	28	2	8	False	4	Square planar	7	0.952	45.3
XEHSOV	Co	0	3	27	3	6	False	4	Square planar	7	0.9	35.49
XEHYER	Mn	0	6	25	2	5	False	6	Trigonal prismatic	19	1.162	-51.64
XEKKUT	Co	0	1	27	1	8	True	3	Trigonal planar	3	1.045	20.91
XELNAD	Mn	1	5	25	3	4	False	6	Octahedral	18	1.017	-42.51
XEMSAK	Cr	0	5	24	2	4	False	4	Square planar	7	1.009	-56.12
XENBIE	Ni	2	3	28	2	8	False	6	Octahedral	18	1.093	-53.54
XENPAI	Fe	1	2	26	3	5	False	6	Octahedral	18	0.934	55.2
XESMUG	Fe	-2	1	26	2	6	False	6	Octahedral	18	0.883	130.22
XETGUY	Cr	-1	4	24	3	3	False	6	Octahedral	18	0.953	-21.35
XEVKIU	Fe	2	5	26	2	6	False	6	Octahedral	18	1.128	-13.33
XEVMAN	Fe	1	1	26	2	6	True	4	Tetrahedral	8	0.968	94.03
XEYZEH	Ni	2	3	28	2	8	False	6	Octahedral	18	1.148	-29.28
XEZMEU	Fe	0	5	26	2	6	False	7	Pentagonal bipyramidal	23	1.15	-23.58
XEZNUM	Mn	0	6	25	2	5	False	5	Trigonal bipyramidal	13	1.073	-64.32
XEZTEE	Mn	0	6	25	2	5	False	6	Octahedral	18	1.104	-58.93
XEZWOQ	Co	0	4	27	2	7	False	4	Tetrahedral	8	0.998	-27.12
XEZZUX	Fe	1	2	26	3	5	False	6	Octahedral	18	0.949	38.51
XIBBAL	Fe	1	2	26	3	5	False	6	Octahedral	18	0.946	52.9
XIBNUS	Co	0	2	27	2	7	True	2	Linear	0	1.013	33.17
XIDNON	Mn	0	6	25	2	5	False	7	Pentagonal bipyramidal	23	1.163	-59.99
XIFPAD	Ni	0	1	28	2	8	True	2	Linear	0	1.077	16.7
XIHVIT	Fe	-2	1	26	2	6	False	6	Octahedral	18	0.883	136.86
XILJEH	Cr	0	5	24	2	4	True	4	Tetrahedral	8	1.131	-34.04
XILTIV	Fe	0	1	26	2	6	False	6	Octahedral	18	0.9	96.81
XIMHAD	Mn	0	6	25	2	5	False	7	Pentagonal bipyramidal	23	1.165	-58.23
XIMROB	Ni	0	3	28	2	8	False	4	Tetrahedral	8	0.996	-29.29
XIMSAO	Fe	-2	5	26	2	6	False	4	Tetrahedral	8	0.948	-63.42
XIMYUO	Ni	0	3	28	2	8	False	4	Tetrahedral	8	0.971	-25.58
XITQEX	Co	0	2	27	2	7	False	6	Octahedral	18	1.09	30.68
XITQIB	Co	0	2	27	2	7	False	6	Octahedral	18	1.071	30.24
XIVKOD	Co	1	4	27	2	7	False	5	Trigonal bipyramidal	13	1.093	-28.19
XIWBEK	Cr	1	4	24	3	3	False	6	Octahedral	18	0.965	-22.17
XIXTAA	Ni	0	3	28	2	8	False	4	Tetrahedral	8	0.981	-19.74
XIXTEE	Ni	0	1	28	2	8	False	4	Square planar	7	0.919	48.05
XIXTII	Ni	0	3	28	2	8	False	5	Square pyramidal	14	1.073	-20.23
XIYMEY	Co	2	4	27	2	7	False	6	Octahedral	18	1.12	-22.02
XIYPAY	Fe	-2	5	26	2	6	False	4	Square planar	7	1.0	-48.96
XOBBIZ	Fe	0	5	26	2	6	False	4	Tetrahedral	8	1.011	-56.03
XOCJAB	Ni	0	1	28	2	8	False	4	Square planar	7	0.975	45.94
XOCJUV	Ni	0	1	28	2	8	False	4	Square planar	7	0.948	48.34
XOCNUY	Cr	0	1	24	0	5	False	6	Octahedral	18	0.879	116.0
XOFDUR	Fe	1	6	26	3	5	False	6	Octahedral	18	1.042	-17.55
XOGXAS	Co	0	4	27	2	7	False	5	Square pyramidal	14	1.091	-6.75
XOMCOS	Fe	0	5	26	2	6	False	5	Square pyramidal	14	1.055	-33.83
XONCEJ	Co	0	3	27	1	8	False	4	Tetrahedral	8	0.971	-34.71
XOPSEB	Fe	1	1	26	2	6	False	6	Octahedral	18	0.955	73.84
XOQVAC	Co	0	1	27	3	6	False	6	Octahedral	18	0.993	54.69
XOQZOT	Ni	1	3	28	2	8	False	5	Square pyramidal	14	1.094	-17.72
XOTGOC	Ni	0	3	28	2	8	False	4	Tetrahedral	8	1.018	-20.39
XOZXIV	Ni	0	1	28	2	8	False	4	Square planar	7	0.95	40.09
XUBJEK	Ni	0	1	28	0	8	False	4	Tetrahedral	8	0.862	67.2
XUBMUF	Co	2	4	27	2	7	False	6	Pentagonal pyramidal	17	1.214	-38.42
XUJXOP	Cr	1	4	24	3	3	False	6	Octahedral	18	0.96	-37.47
XUKHOC	Ni	0	1	28	2	8	False	4	Square planar	7	0.931	31.36
XULXAG	Ni	0	1	28	2	8	False	4	Square planar	7	0.927	31.04
XUNTAB	Co	0	4	27	2	7	False	3	Trigonal planar	3	0.927	-10.43
XUPJOI	Fe	0	1	26	2	6	False	6	Octahedral	18	0.906	99.9
XUPRAB	Co	0	4	27	2	7	False	4	Tetrahedral	8	0.991	-25.78
XUPREF	Co	0	4	27	2	7	False	4	Tetrahedral	8	0.997	-13.51
XUPSIL	Ni	0	1	28	2	8	False	4	Square planar	7	0.948	26.46
XUQXEO	Ni	0	3	28	2	8	False	7	Pentagonal bipyramidal	23	1.227	-26.45
XUSCIY	Co	1	1	27	1	8	True	4	Tetrahedral	8	0.892	25.32
XUVTIR	Mn	1	1	25	1	6	True	4	Tetrahedral	8	0.935	114.26
XUVVAN	Co	0	4	27	2	7	False	7	Pentagonal bipyramidal	23	1.216	-17.88
XUWPAH	Ni	0	3	28	2	8	False	6	Octahedral	18	1.123	-29.94
XUYWAQ	Ni	1	1	28	2	8	False	4	Square planar	7	0.937	32.74
YABLIW	Ni	0	1	28	2	8	False	4	Square planar	7	0.921	47.9
YABPEW	Ni	0	1	28	2	8	False	4	Square planar	7	0.947	36.93
YADKET	Ni	0	1	28	2	8	False	5	Square pyramidal	14	0.998	23.97
YAGBIR	Mn	0	5	25	3	4	False	5	Square pyramidal	14	0.924	-46.82
YAJLAW	Fe	0	5	26	2	6	False	6	Octahedral	18	1.095	-16.51
YAJLEA	Fe	0	5	26	2	6	False	6	Octahedral	18	1.108	-15.89
YAKFOG	Cr	0	4	24	3	3	False	6	Octahedral	18	0.961	-20.94
YAKGAT	Cr	0	4	24	3	3	False	6	Octahedral	18	0.954	-21.23
