refcode	metal	total_charge	multiplicity	elem_nr	m_ox	d_elec	hapticity	CN	geometry	geom_nr	rel_m	splitting
OLOZAR	Ni	0	3	28	2	8	False	4	Tetrahedral	8	1.0	-16.63
OMANIB	Fe	0	2	26	3	5	False	6	Octahedral	18	0.939	33.7
OMIXAL	Mn	0	6	25	2	5	False	6	Octahedral	18	1.112	-38.71
OMUHAG	Mn	0	6	25	2	5	False	6	Trigonal prismatic	19	1.135	-64.57
ONAPOL	Fe	-1	6	26	3	5	False	4	Tetrahedral	8	0.952	-13.81
ONAXIM	Co	0	2	27	2	7	False	5	Square pyramidal	14	0.984	28.34
ONUQAR	Fe	0	5	26	2	6	False	3	Trigonal planar	3	0.931	-45.56
OPAKUM	Ni	0	1	28	2	8	False	3	T-shaped	6	0.931	27.73
OQAKAV	Co	0	1	27	3	6	True	4	Tetrahedral	8	1.042	71.69
OQEDOE	Co	0	4	27	2	7	False	4	Tetrahedral	8	1.038	-25.39
OQEPOR	Co	0	3	27	1	8	True	4	Tetrahedral	8	1.084	-23.23
ORESUC	Ni	0	1	28	2	8	False	4	Square planar	7	0.937	38.93
ORODOP	Ni	0	2	28	3	7	False	5	Square pyramidal	14	0.973	47.99
OROFEH	Ni	0	1	28	2	8	False	4	Square planar	7	0.932	49.89
ORUDUB	Ni	0	1	28	2	8	True	3	Trigonal planar	3	1.049	31.99
OSELOO	Fe	0	5	26	2	6	False	6	Octahedral	18	1.107	-18.44
OTIQIT	Co	0	1	27	1	8	True	2	Linear	0	1.038	37.54
OTOTEX	Fe	0	5	26	2	6	False	4	Tetrahedral	8	0.985	-50.26
OTOTIB	Fe	0	6	26	3	5	False	4	Tetrahedral	8	0.902	-30.21
OVOJIU	Co	0	1	27	3	6	False	6	Octahedral	18	0.914	131.81
OWIQER	Ni	0	1	28	2	8	True	3	Trigonal planar	3	1.054	54.45
OWOGUE	Cr	0	4	24	3	3	False	6	Octahedral	18	0.939	-38.75
OYIKOY	Fe	-1	5	26	2	6	False	4	Tetrahedral	8	0.981	-81.07
OYIKUE	Fe	-1	5	26	2	6	False	4	Tetrahedral	8	0.98	-54.65
OYILIT	Fe	-1	5	26	2	6	False	4	Tetrahedral	8	0.962	-52.63
OYUKOK	Fe	0	5	26	2	6	False	4	Tetrahedral	8	1.008	-45.71
OZEDIH	Ni	3	2	28	3	7	False	6	Octahedral	18	1.062	42.96
OZIREV	Fe	0	5	26	2	6	False	4	Tetrahedral	8	1.077	-41.91
OZUSOT	Mn	0	6	25	2	5	False	5	Square pyramidal	14	1.029	-57.1
PAACCO	Co	0	1	27	3	6	False	6	Octahedral	18	0.975	47.48
PABZIC	Cr	2	2	24	3	3	True	5	Square pyramidal	14	0.996	47.16
PACHEI	Mn	0	6	25	2	5	False	4	Tetrahedral	8	0.999	-69.94
PADJAH	Fe	0	6	26	3	5	False	5	Square pyramidal	14	0.983	-36.65
PAHMUJ	Ni	1	2	28	3	7	False	5	Square pyramidal	14	1.07	61.55
PAMSUT	Co	-1	4	27	2	7	False	4	Tetrahedral	8	0.982	-37.44
PANGER	Ni	0	3	28	2	8	False	6	Octahedral	18	1.127	-34.19
PARRUW	Co	0	4	27	2	7	False	6	Octahedral	18	1.184	-15.95
PARSOR	Ni	0	3	28	2	8	False	4	Tetrahedral	8	1.023	-42.1
PASGIZ	Ni	1	3	28	2	8	False	6	Octahedral	18	1.158	-22.68
PATACO10	Co	2	1	27	3	6	False	6	Octahedral	18	0.99	62.22
PATQEG	Ni	0	3	28	2	8	False	4	Tetrahedral	8	0.981	-33.19
PAXVAM	Mn	0	5	25	3	4	False	6	Octahedral	18	0.98	-53.53
PAYHIG	Fe	0	5	26	2	6	False	5	Square pyramidal	14	1.067	-59.52
PAYVAO	Mn	2	6	25	2	5	False	6	Octahedral	18	1.11	-50.42
PAZDUQ	Cr	0	4	24	3	3	False	6	Octahedral	18	0.983	-46.04
PAZPAI	Ni	2	3	28	2	8	False	6	Octahedral	18	1.134	-33.23
PAZXAP	Fe	2	1	26	2	6	False	6	Octahedral	18	0.989	40.19
PCTHFC	Cr	0	1	24	0	5	False	6	Octahedral	18	0.868	130.61
PEHZOU	Ni	0	1	28	2	8	False	5	Trigonal bipyramidal	13	0.916	46.03
PEJCOZ	Mn	0	6	25	2	5	False	6	Octahedral	18	1.146	-56.66
PEKPAW	Ni	2	3	28	2	8	False	6	Octahedral	18	1.135	-36.39
PEMENI	Ni	1	1	28	2	8	False	5	Square pyramidal	14	1.046	30.32
PEMSOP	Cr	0	1	24	0	5	False	6	Octahedral	18	0.845	167.19
PEMTAC	Cr	0	1	24	0	5	False	6	Octahedral	18	0.876	123.65
PENBUG	Co	-1	3	27	3	6	False	4	Square planar	7	0.913	18.05
PENHOI	Mn	-1	5	25	3	4	False	5	Square pyramidal	14	0.927	-62.42
PEPPEI	Fe	0	3	26	2	6	False	5	Square pyramidal	14	0.902	22.47
PEQMEE	Ni	-2	1	28	2	8	False	4	Square planar	7	0.91	34.38
PERJIG	Co	3	1	27	3	6	False	6	Octahedral	18	0.974	100.48
PEVHAC	Fe	1	3	26	2	6	False	5	Trigonal bipyramidal	13	0.899	9.49
PEXKAF	Co	2	1	27	3	6	False	6	Octahedral	18	0.99	57.61
PEXKUB	Ni	0	3	28	2	8	False	5	Trigonal bipyramidal	13	1.049	-20.7
PIBPOH	Ni	1	3	28	2	8	False	5	Square pyramidal	14	1.081	-19.97
PIGDIS	Ni	1	3	28	2	8	False	6	Octahedral	18	1.108	-37.57
PIHWEI	Mn	0	6	25	2	5	False	7	Pentagonal bipyramidal	23	1.172	-49.42
PIKZIT	Mn	0	6	25	2	5	False	6	Octahedral	18	1.118	-45.07
PIMMOQ	Fe	0	5	26	2	6	False	6	Octahedral	18	1.109	-27.17
PINBUJ	Ni	2	3	28	2	8	False	6	Octahedral	18	1.098	-28.36
PIQKOR	Co	1	1	27	3	6	True	4	Tetrahedral	8	1.042	52.33
PITBUP	Cr	-1	4	24	3	3	False	6	Octahedral	18	1.059	-41.29
PITHAD	Co	2	4	27	2	7	False	6	Octahedral	18	1.129	-11.63
PIVDAB	Ni	1	3	28	2	8	False	4	Tetrahedral	8	1.037	-39.19
PIVHUZ	Co	0	4	27	2	7	False	2	Linear	0	0.879	-14.08
PIYYON	Fe	0	5	26	2	6	False	5	Trigonal bipyramidal	13	1.07	-35.75
PMCCOC	Co	0	1	27	1	8	True	3	Trigonal planar	3	0.996	48.7
POBWUA	Co	2	2	27	2	7	False	5	Square pyramidal	14	1.0	50.07
PODCIX	Co	0	4	27	2	7	False	6	Trigonal prismatic	19	1.167	-20.34
POJHUT	Ni	0	3	28	2	8	False	7	Pentagonal bipyramidal	23	1.219	-24.02
POJREL	Fe	0	6	26	3	5	False	6	Octahedral	18	1.05	-28.55
POPFEC10	Fe	0	1	26	0	6	False	5	Trigonal bipyramidal	13	0.805	120.94
PORNES	Co	0	4	27	2	7	False	5	Square pyramidal	14	1.11	-9.68
PORPOB	Co	3	1	27	3	6	False	6	Octahedral	18	0.977	76.65
POWRID	Co	0	4	27	2	7	False	6	Octahedral	18	1.14	-12.9
POWROJ	Mn	1	6	25	2	5	False	6	Octahedral	18	1.091	-52.11
PUCFID	Fe	0	1	26	2	6	False	6	Octahedral	18	0.903	76.52
PUCHOL	Fe	0	5	26	2	6	True	3	Trigonal planar	3	1.157	-58.96
PUCHUR	Co	0	2	27	2	7	True	3	Trigonal planar	3	1.09	26.28
PUDPAG	Cr	0	4	24	3	3	False	6	Octahedral	18	0.935	-34.84
PUGLOS	Fe	1	1	26	2	6	True	4	Tetrahedral	8	0.981	58.07
PUHWUL	Mn	1	5	25	3	4	False	6	Octahedral	18	1.006	-43.61
PUJBAX	Mn	-2	5	25	3	4	False	6	Octahedral	18	0.982	-60.22
PUJSOC	Ni	1	1	28	2	8	False	4	Seesaw	9	0.881	29.89
PUKPUG	Co	0	1	27	3	6	True	3	Trigonal planar	3	1.025	96.75
PUMQAQ	Co	-2	4	27	2	7	False	4	Tetrahedral	8	1.006	-51.58
PUQJAM	Fe	-1	5	26	2	6	False	6	Octahedral	18	1.117	-22.06
PURCUA	Fe	0	5	26	2	6	True	2	Linear	0	1.113	-31.18
PUTTUT	Co	1	1	27	3	6	False	6	Octahedral	18	0.962	62.79
PUTVAB	Co	2	1	27	3	6	False	6	Octahedral	18	0.96	75.0
PUVLAV	Cr	0	5	24	2	4	False	4	Seesaw	9	1.094	-61.13
PUWMAX	Co	1	1	27	3	6	False	6	Octahedral	18	0.989	48.13
PUXRAC	Fe	0	5	26	2	6	False	4	Tetrahedral	8	0.992	-46.96
PUXVIO	Cr	0	4	24	3	3	False	4	Tetrahedral	8	0.897	-30.11
PUXVOU	Cr	0	5	24	2	4	False	3	Trigonal planar	3	0.925	-58.83
PYESAF10	Fe	0	5	26	2	6	False	5	Square pyramidal	14	1.03	-30.75
PYRMNC	Mn	0	1	25	1	6	False	6	Octahedral	18	0.843	134.02
QABMIP	Ni	1	1	28	2	8	True	3	Trigonal planar	3	1.047	21.87
QADJEK	Co	0	4	27	2	7	False	5	Trigonal bipyramidal	13	1.117	-30.32
QAFCEG	Ni	0	3	28	2	8	False	6	Octahedral	18	1.106	-32.14
QAFCOS	Mn	0	6	25	2	5	False	5	Square pyramidal	14	1.065	-47.41
QAFPAO	Co	1	1	27	3	6	False	6	Octahedral	18	0.981	63.84
QAGCEG	Ni	-2	3	28	2	8	False	6	Octahedral	18	1.146	-38.31
QAHQAT	Ni	1	1	28	2	8	False	4	Square planar	7	0.946	31.94
QAHWUT	Ni	0	1	28	2	8	False	4	Square planar	7	0.927	25.2
QALDUD	Ni	0	3	28	2	8	False	6	Octahedral	18	1.119	-13.55
QANFOD	Co	-1	3	27	3	6	False	4	Square planar	7	0.865	20.85
QANMOK	Co	0	2	27	2	7	False	4	Square planar	7	1.006	20.72
QAQBIV	Co	0	1	27	1	8	False	5	Trigonal bipyramidal	13	0.883	75.09
QAQBOB	Fe	0	1	26	2	6	True	4	Tetrahedral	8	0.956	125.89
QAQZEO	Ni	0	1	28	2	8	True	3	Trigonal planar	3	1.059	16.41
QARMIF	Fe	1	1	26	2	6	True	2	Linear	0	1.004	73.81
QARPEF	Fe	0	6	26	3	5	False	6	Octahedral	18	1.042	-19.79
QASCUI	Ni	0	3	28	2	8	False	4	Seesaw	9	1.017	-35.83
QAVFID	Fe	0	5	26	2	6	False	4	Square planar	7	1.081	-38.2
QAWZET	Cr	0	4	24	3	3	True	4	Tetrahedral	8	1.103	-19.67
QAWZIX	Cr	1	4	24	3	3	True	4	Tetrahedral	8	1.079	-19.7
QAYBAT	Fe	0	5	26	2	6	False	4	Tetrahedral	8	1.017	-44.0
QAYCEY	Fe	0	6	26	3	5	False	5	Trigonal bipyramidal	13	1.001	-26.26
QAZCIF	Co	0	2	27	2	7	False	4	Square planar	7	0.951	26.77
QEDCOR	Fe	2	5	26	2	6	False	6	Octahedral	18	1.094	-30.27
QEDKOZ	Co	0	4	27	2	7	False	6	Octahedral	18	1.152	-8.4
QEFDOW	Fe	0	6	26	3	5	False	6	Octahedral	18	1.039	-13.98
QEHKUL	Ni	1	1	28	2	8	True	3	Trigonal planar	3	1.052	24.18
QEHZIN	Fe	2	2	26	3	5	False	6	Octahedral	18	0.947	89.86
QEKCAN	Ni	0	2	28	3	7	False	6	Octahedral	18	1.092	60.89
QEKFET	Ni	0	3	28	2	8	False	6	Octahedral	18	1.128	-36.41
QENWUC	Fe	2	1	26	2	6	False	6	Octahedral	18	0.922	79.51
QEQVEO	Cr	0	4	24	3	3	False	6	Octahedral	18	0.95	-33.57
QETKOS	Fe	3	2	26	3	5	False	6	Octahedral	18	0.975	48.88
QETLAF	Mn	1	6	25	2	5	False	7	Pentagonal bipyramidal	23	1.155	-61.43
QETVAM	Ni	0	3	28	2	8	False	5	Trigonal bipyramidal	13	1.097	-19.85
QEWGOR	Ni	0	1	28	2	8	False	4	Square planar	7	0.939	25.61
QEZYUP	Fe	0	1	26	2	6	False	6	Octahedral	18	0.919	80.07
QIDNAU	Co	0	3	27	1	8	False	3	Trigonal planar	3	0.971	-33.79
QIGGOC	Co	1	1	27	3	6	True	3	Trigonal planar	3	1.074	75.5
QIGRED	Co	0	1	27	3	6	False	6	Octahedral	18	0.961	101.48
QIGRON	Co	0	1	27	3	6	False	6	Octahedral	18	0.99	45.53
QIGSEE	Co	0	1	27	3	6	False	6	Octahedral	18	1.002	87.76
QIJTAE	Fe	0	6	26	3	5	False	6	Octahedral	18	1.039	-18.48
QILWUD	Co	2	1	27	3	6	False	6	Octahedral	18	0.997	55.98
QIMXUI	Ni	-2	1	28	2	8	False	4	Square planar	7	0.884	21.66
QIRWIZ	Cr	1	5	24	2	4	False	5	Trigonal bipyramidal	13	1.043	-46.78
QIRWOF	Cr	1	5	24	2	4	False	5	Trigonal bipyramidal	13	1.029	-47.42
QIRWUL	Cr	1	5	24	2	4	False	5	Square pyramidal	14	1.029	-51.76
QITBEA	Fe	0	5	26	2	6	False	5	Square pyramidal	14	1.098	-65.07
QITSUJ	Co	-2	4	27	2	7	False	4	Tetrahedral	8	0.987	-45.39
QITWUO	Fe	1	4	26	3	5	False	5	Square pyramidal	14	0.99	-7.17
QIVYEZ	Fe	0	5	26	2	6	False	2	Linear	0	0.996	-75.69
QIWCUU	Ni	0	1	28	2	8	False	5	Trigonal bipyramidal	13	0.992	14.51
QIWKOX	Co	0	1	27	3	6	False	6	Octahedral	18	0.982	105.13
QIXCOR	Fe	0	5	26	2	6	False	5	Trigonal bipyramidal	13	1.077	-50.34
QIXDEI	Fe	0	5	26	2	6	False	6	Octahedral	18	1.111	-26.35
QIXDIM	Fe	0	5	26	2	6	False	5	Square pyramidal	14	1.074	-49.45
QIYMAN	Co	0	1	27	3	6	True	4	Tetrahedral	8	1.03	48.81
QIZCAF	Fe	0	5	26	2	6	False	5	Square pyramidal	14	1.064	-32.79
QOBRIK	Fe	0	5	26	2	6	False	5	Trigonal bipyramidal	13	1.108	-34.65
QOCDUI01	Fe	0	4	26	3	5	False	5	Square pyramidal	14	0.96	0.87
QOFDIZ	Mn	1	2	25	2	5	True	4	Tetrahedral	8	0.949	109.75
