refcode	metal	charge_cell2mol	charge_BVS	dictionary	unique_indices
AZENAV	Re	9999	7777	{1: 9999, 3: 3.850116, 4: 9999, 5: 0.018064, 6: 9999, 7: 0.070705}	1
AZOCEX	Re	1	9999	{1: 9999, 3: 9999, 4: 9999, 5: 9999, 6: 9999, 7: 9999}	4
AZOXOC	Re	9999	9999	{1: 9999, 3: 9999, 4: 9999, 5: 9999, 6: 9999, 7: 9999}	3
AZOXUI	Re	9999	9999	{1: 9999, 3: 9999, 4: 9999, 5: 9999, 6: 9999, 7: 9999}	3
BABSAA	Re	5	9999	{1: 9999, 3: 9999, 4: 9999, 5: 9999, 6: 9999, 7: 9999}	3
BABSEE	Re	5	9999	{1: 9999, 3: 9999, 4: 9999, 5: 9999, 6: 9999, 7: 9999}	3
BABSII	Re	5	9999	{1: 9999, 3: 9999, 4: 9999, 5: 9999, 6: 9999, 7: 9999}	3
BABSOO	Re	9999	9999	{1: 9999, 3: 9999, 4: 9999, 5: 9999, 6: 9999, 7: 9999}	3
BABSUU	Re	5	9999	{1: 9999, 3: 9999, 4: 9999, 5: 9999, 6: 9999, 7: 9999}	5
BACCOB	Re	9999	9999	{1: 9999, 3: 9999, 4: 9999, 5: 9999, 6: 9999, 7: 9999}	4
BACCUG	Re	1	9999	{1: 9999, 3: 9999, 4: 9999, 5: 9999, 6: 9999, 7: 9999}	3
BACDER	Re	1	9999	{1: 9999, 3: 9999, 4: 9999, 5: 9999, 6: 9999, 7: 9999}	3
BAMGOM	Re	9999	9999	{1: 9999, 3: 9999, 4: 9999, 5: 9999, 6: 9999, 7: 9999}	4
BAMGUS	Re	9999	9999	{1: 9999, 3: 9999, 4: 9999, 5: 9999, 6: 9999, 7: 9999}	4
BAMXOD	Re	2	9999	{1: 9999, 3: 9999, 4: 9999, 5: 9999, 6: 9999, 7: 9999}	2
BAMXUJ	Re	2	9999	{1: 9999, 3: 9999, 4: 9999, 5: 9999, 6: 9999, 7: 9999}	2
BAMYAQ	Re	2	9999	{1: 9999, 3: 9999, 4: 9999, 5: 9999, 6: 9999, 7: 9999}	2
BAPNEN	Re	9999	9999	{1: 9999, 3: 9999, 4: 9999, 5: 9999, 6: 9999, 7: 9999}	4
BAPXIA	Re	3	9999	{1: 9999, 3: 9999, 4: 9999, 5: 9999, 6: 9999, 7: 9999}	3
BAQNOW	Re	5	9999	{1: 9999, 3: 9999, 4: 9999, 5: 9999, 6: 9999, 7: 9999}	3
BATCUW	Re	9999	9999	{1: 9999, 3: 9999, 4: 9999, 5: 9999, 6: 9999, 7: 9999}	3
BATYAW	Re	1	9999	{1: 9999, 3: 9999, 4: 9999, 5: 9999, 6: 9999, 7: 9999}	3
BATYEA	Re	3	9999	{1: 9999, 3: 9999, 4: 9999, 5: 9999, 6: 9999, 7: 9999}	3
BAWSAU	Re	9999	9999	{1: 9999, 3: 9999, 4: 9999, 5: 9999, 6: 9999, 7: 9999}	3
BAWSEY	Re	4	9999	{1: 9999, 3: 9999, 4: 9999, 5: 9999, 6: 9999, 7: 9999}	2
BEDFEW	Re	9999	9999	{1: 9999, 3: 9999, 4: 9999, 5: 9999, 6: 9999, 7: 9999}	4
BEDSIN	Re	4	9999	{1: 9999, 3: 9999, 4: 9999, 5: 9999, 6: 9999, 7: 9999}	2
BEFWAK	Re	3	9999	{1: 9999, 3: 9999, 4: 9999, 5: 9999, 6: 9999, 7: 9999}	3
BEGQIO	Re	5	9999	{1: 9999, 3: 9999, 4: 9999, 5: 9999, 6: 9999, 7: 9999}	4
BEGQOU	Re	9999	9999	{1: 9999, 3: 9999, 4: 9999, 5: 9999, 6: 9999, 7: 9999}	4
BEKFIJ	Re	3	9999	{1: 9999, 3: 9999, 4: 9999, 5: 9999, 6: 9999, 7: 9999}	5
BENWAS	Re	9999	9999	{1: 9999, 3: 9999, 4: 9999, 5: 9999, 6: 9999, 7: 9999}	5
BEZDIT10	Re	9999	9999	{1: 9999, 3: 9999, 4: 9999, 5: 9999, 6: 9999, 7: 9999}	4
BEZDUF10	Re	9999	9999	{1: 9999, 3: 9999, 4: 9999, 5: 9999, 6: 9999, 7: 9999}	3
BEZFAN10	Re	9999	9999	{1: 9999, 3: 9999, 4: 9999, 5: 9999, 6: 9999, 7: 9999}	4
BIFLUY	Re	3	9999	{1: 9999, 3: 9999, 4: 9999, 5: 9999, 6: 9999, 7: 9999}	3
BIJKEM	Re	5	9999	{1: 9999, 3: 9999, 4: 9999, 5: 9999, 6: 9999, 7: 9999}	3
BILJIQ	Re	9999	9999	{1: 9999, 3: 9999, 4: 9999, 5: 9999, 6: 9999, 7: 9999}	3
BIMLUF	Re	9999	9999	{1: 9999, 3: 9999, 4: 9999, 5: 9999, 6: 9999, 7: 9999}	3
BIRGOY	Re	1	9999	{1: 9999, 3: 9999, 4: 9999, 5: 9999, 6: 9999, 7: 9999}	3
BITXEH	Re	9999	9999	{1: 9999, 3: 9999, 4: 9999, 5: 9999, 6: 9999, 7: 9999}	4
BIXQII	Re	9999	9999	{1: 9999, 3: 9999, 4: 9999, 5: 9999, 6: 9999, 7: 9999}	5
BOCLOU	Re	9999	9999	{1: 9999, 3: 9999, 4: 9999, 5: 9999, 6: 9999, 7: 9999}	3
BOFHOU	Re	1	9999	{1: 9999, 3: 9999, 4: 9999, 5: 9999, 6: 9999, 7: 9999}	3
BOFHUA	Re	1	9999	{1: 9999, 3: 9999, 4: 9999, 5: 9999, 6: 9999, 7: 9999}	3
BOFJAI	Re	1	9999	{1: 9999, 3: 9999, 4: 9999, 5: 9999, 6: 9999, 7: 9999}	3
