refcode	metal	charge_cif
CARVAR	Ni	2
CARVEW	Ni	2
CARVUM	Ni	2
CARWAT	Ni	2
CASFAD	Ni	2
CASHOW	Ni	2
CASLOX	Ni	2
CASMUF	Ni	2
CASVUQ	Ni	2
CASWIC	Ni	2
CASYOL	Ni	2
CATHOV	Ni	2
CATJIR	Ni	2
CAVBAD	Ni	2
CAWDAI	Ni	2
CAWGUD	Ni	2
CAWPOG	Ni	2
CAWVAY	Ni	2
CAXMET	Ni	2
CAXVOP	Ni	2
CAYSIG	Ni	2
CAZHES	Ni	2
CAZKEV	Ni	2
CBZENI	Ni	2
CEBDIZ	Ni	2
CEBFOH	Ni	2
CEBGEY	Ni	2
CEBGIC02	Ni	2
CEBHEX	Ni	2
CEBKEA	Ni	2
CEBKIE	Ni	2
CEBLEB	Ni	2
CEBNIH	Ni	2
CEBTAH	Ni	2
CEBTOV	Ni	2
CEBZIS	Ni	2
CECHIE	Ni	2
CECHOK	Ni	2
CECKAX	Ni	2
CECKEB	Ni	2
CEDKIG	Ni	2
CEDXUF	Ni	2
CEDYAM	Ni	2
CEFHIE	Ni	2
CEGNOS	Ni	2
CEGQAG	Ni	4
CEHWOE	Ni	2
CEHXUL	Ni	2
CEJPIQ	Ni	2
CEJQUE	Ni	2
CEKBAY	Ni	2
CEKCOK	Ni	2
CEKJIO	Ni	2
CELCON	Ni	2
CELCUT	Ni	2
CELKIN	Ni	0
CEMQAN	Ni	2
CEMSUL	Ni	2
CEMVIB	Ni	2
CEMWAU	Ni	2
CENXOI	Ni	2
CENYOJ	Ni	2
CEPFEI	Ni	2
CEPREV	Ni	2
CEPXIF	Ni	2
CEPXIG	Ni	2
CEQJOY	Ni	2
CEQNIY	Ni	2
CEQSEW	Ni	2
CEQTAT	Ni	2
CEQTEX	Ni	2
CERLAN	Ni	2
CERPAT	Ni	2
CERSUO	Ni	2
CERTIE	Ni	2
CERTOK	Ni	2
CERYIH	Ni	2
CERYUT	Ni	2
CERYUU	Ni	2
CESCEJ	Ni	2
CESGAI	Ni	2
CESKIU	Ni	2
CESQOJ	Ni	2
CESWEC	Ni	2
CETGUD	Ni	2
CETRUO	Ni	2
CETXAA	Ni	3
CEVGEP	Ni	2
CEVNEZ	Ni	2
CEWCOZ	Ni	4
CEWTIK	Ni	2
CEWZAF10	Ni	2
CEXBEM14	Ni	2
CEXGUK	Ni	2
CEXMEX	Ni	2
CEXRIJ	Ni	2
CEXROP	Ni	2
CEYREE	Ni	2
CEYRUU	Ni	2
CEZMAW	Ni	2
CHTNIA	Ni	2
CHYDNI	Ni	2
CIBROU01	Ni	2
CICHIG	Ni	2
CIDFOL	Ni	2
CIDTOA	Ni	2
CIFLEK	Ni	2
CIFLIO	Ni	2
CIGBUP	Ni	2
CIGCAW	Ni	2
CIGCEA	Ni	2
CIGTAN	Ni	2
CIGVAR	Ni	2
CIGVEV	Ni	2
CIGVIZ	Ni	2
CIGVOF	Ni	2
CIGWAR	Ni	2
CIHGEF	Ni	2
CIJWOK	Ni	2
CIJXUQ	Ni	2
CIJYID	Ni	2
CIKGUB	Ni	2
CIKHAI	Ni	2
CIKTIZ	Ni	2
CILBAB	Ni	2
CILDAE	Ni	2
CILPEU	Ni	2
CIMGAG	Ni	2
CIMMIW	Ni	2
CIMMOB	Ni	2
CIMMOC	Ni	2
CIMMUH	Ni	2
CIMNAO	Ni	2
CIMNES	Ni	2
CIMNIW	Ni	2
CIMNOC	Ni	2
CIMQOG	Ni	2
CIPBAE	Ni	2
CIPGUD	Ni	2
CIRVEE	Ni	2
CISJOF	Ni	2
CISJUL	Ni	2
CISVIM	Ni	2
CISVOS	Ni	2
CISXIM	Ni	2
CISXUY	Ni	2
CITJEU	Ni	2
CIVCAN	Ni	2
CIVFOF	Ni	2
CIVJIA20	Ni	2
CIVJOG02	Ni	2
CIVRAC	Ni	2
CIWNEC	Ni	2
CIWTAD	Ni	2
CIWWIP	Ni	2
CIXQUW	Ni	2
CIXREG	Ni	2
CIXZAM	Ni	2
CIXZER	Ni	2
CIYCEV	Ni	2
CIYFUM	Ni	2
CIYHUP	Ni	2
CIYJIE	Ni	2
CIYSEI	Ni	2
CLSINI10	Ni	2
CMALNI	Ni	2
CNBONI	Ni	2
CNITSC	Ni	2
CNSPYN	Ni	2
COBFEE	Ni	2
COBGAB	Ni	2
COBLOX	Ni	2
COBQAN	Ni	2
COBTOE	Ni	2
COBVUL	Ni	2
COBVUM	Ni	2
COBZOL	Ni	2
COCLIQ	Ni	2
COCXAU	Ni	2
COCXUO	Ni	2
COCYID	Ni	2
CODWAU	Ni	2
CODWOI	Ni	2
CODWUO	Ni	2
CODXEA	Ni	2
CODXID	Ni	2
COFKAL	Ni	2
COFMOC	Ni	2
COFVIC	Ni	0
COHMUJ	Ni	2
COHVUR	Ni	2
COHWAY	Ni	2
COHWEC	Ni	2
COHWIG	Ni	2
COJJAP	Ni	2
COJJET	Ni	2
COJJIX	Ni	2
COJJOD	Ni	2
COJTAW	Ni	2
COKBOV	Ni	2
COKDOV	Ni	2
COKXAB	Ni	2
COLNEY	Ni	2
COLZIN	Ni	2
COMBOW	Ni	2
COMJEU	Ni	2
COMJIY	Ni	2
COMVEF	Ni	2
CONRUS	Ni	2
COPDOB	Ni	2
COPGET	Ni	2
COPGEU	Ni	2
COPKUO	Ni	2
COPQON	Ni	2
COPRNI	Ni	0
COQJIC	Ni	2
COQVEK	Ni	2
COQVIO	Ni	2
CORCUJ	Ni	2
CORHUN	Ni	2
COTMOQ	Ni	4
COVMAD	Ni	2
COWVOB	Ni	2
COXGUT	Ni	2
COXNIN	Ni	2
COXNOT	Ni	2
COXVER	Ni	2
COXVIV	Ni	2
COXVOB	Ni	2
COYZUL	Ni	2
COZBEZ	Ni	2
CPMSNI10	Ni	2
CPMXNI	Ni	2
CSNIDA	Ni	2
CUBCAE	Ni	2
CUBCEI	Ni	2
CUBYUW	Ni	2
CUBZAD	Ni	2
CUCRAT	Ni	2
CUCRIB	Ni	2
CUDKAN	Ni	2
CUFKUM	Ni	2
CUHBIT	Ni	2
CUHGUK	Ni	2
CUHPIG	Ni	2
CUHTIK	Ni	2
CUJJAS	Ni	2
CUJXIP	Ni	2
CUKPAB	Ni	2
CUKZAL	Ni	2
CULZUE	Ni	2
CUMMOP	Ni	2
CUMWUC	Ni	2
CUMWUD	Ni	2
CUMXAK	Ni	2
CUNVIQ	Ni	2
CUNYUF	Ni	2
CUPBAQ	Ni	2
CUPJEC	Ni	2
CUPJUU	Ni	2
CUQFUR	Ni	2
CUSYOE	Ni	2
CUVFUV	Ni	2
CUVGAC	Ni	2
CUVGEG	Ni	2
CUVGOP01	Ni	2
CUWJAH	Ni	2
CUXKAJ	Ni	2
CUXQOB	Ni	2
CUXWIC	Ni	2
CUXWUN	Ni	2
CUXXOL	Ni	2
CUXXUR	Ni	2
CYEPNI	Ni	2
DABCAK	Ni	2
DABNID	Ni	2
DABWEJ	Ni	2
DABZEO	Ni	2
DACANI	Ni	2
DACHOG	Ni	2
DACPOO	Ni	2
DACXEN	Ni	2
DADHUL	Ni	2
DADKEA	Ni	2
DADVIR	Ni	0
DADVUD	Ni	0
