refcode	metal	charge_cif
CINTAX	Fe	3
CIPKES	Fe	2
CIRGOZ	Fe	2
CIRTII	Fe	2
CIRTOO	Fe	2
CIVCER	Fe	2
CIVLEZ	Fe	2
CIVLID	Fe	2
CIWGEX	Fe	3
CIWHAU	Fe	3
CIWJEA	Fe	3
CIWNOO	Fe	3
CIWQUU	Fe	2
CIWRIJ	Fe	3
CIWVAF	Fe	3
CIXTUA	Fe	3
CIYJIF	Fe	2
CIZBUJ	Fe	2
CIZWEO	Fe	0
CLFSAL10	Fe	3
CNMCFE	Fe	2
COBHIL	Fe	2
CODKUD	Fe	2
COGQIZ	Fe	2
COHMOB	Fe	3
COJPOI	Fe	3
COKGEO	Fe	3
COKKET	Fe	3
COKKIX	Fe	3
COMKUL	Fe	2
COMQUR	Fe	2
COMRAY	Fe	2
COMROM	Fe	2
COPHUK	Fe	2
COQHUM	Fe	2
COQJEY	Fe	2
CORHOH	Fe	2
CORSAG	Fe	2
CORSEK	Fe	2
CORSIO	Fe	2
CORSUA	Fe	2
COSBIX	Fe	2
COSGEW	Fe	2
COTQOS	Fe	2
COTZUH	Fe	2
COVZES	Fe	2
COWFAW	Fe	2
COWNIM	Fe	2
COZGUT	Fe	3
COZVIX	Fe	2
CPCFEA10	Fe	3
CPTCFE	Fe	2
CPYFEM	Fe	2
CUBPIA	Fe	0
CUCQIB	Fe	2
CUCQOH	Fe	2
CUCQUN	Fe	2
CUCRAU	Fe	2
CUCVON	Fe	2
CUCVUT	Fe	2
CUCWEE	Fe	2
CUCWOO	Fe	2
CUCWUU	Fe	2
CUFYAF	Fe	3
CUFYEJ	Fe	3
CUHGUH	Fe	3
CUHXAE	Fe	3
CUKMOL	Fe	2
CUKWEM01	Fe	2
CUKWOW	Fe	2
CUQFUP	Fe	3
CUQGAW	Fe	3
CUQSEN	Fe	2
CURBIC	Fe	3
CURPIQ	Fe	3
CURPUA	Fe	2
CUWQAP	Fe	2
CUXREV	Fe	2
CUZKOA02	Fe	3
DABHUJ	Fe	3
DABPOM	Fe	3
DABPUS	Fe	2
DABQAZ	Fe	2
DABQED	Fe	3
DABQIH	Fe	2
DABQON	Fe	2
DABRII	Fe	2
DABROO	Fe	2
