refcode	metal	charge_cell2mol	charge_BVS	dictionary	unique_indices
AJUHUJ	Cu	2	7777	{1: 0.141793, 2: 9.8e-05, 3: 0.513247}	2
AJUJUK	Cu	2	7777	{1: 0.13785, 2: 1.6e-05, 3: 0.56733}	3
AJULOH	Cu	2	7777	{1: 0.083222, 2: 2e-06, 3: 0.640809}	3
AKAMEG	Cu	2	7777	{1: 0.171761, 2: 0.002155, 3: 9999}	2
AKAMIK	Cu	2	7777	{1: 0.198982, 2: 0.001906, 3: 9999}	2
AKETUF	Cu	2	7777	{1: 0.194772, 2: 0.000183, 3: 0.599217}	1
AKEVAN	Cu	2	7777	{1: 0.246603, 2: 0.000541, 3: 0.48387}	1
AKEVER	Cu	2	7777	{1: 0.199296, 2: 8.4e-05, 3: 0.600562}	1
AKEVIV	Cu	2	7777	{1: 0.207145, 2: 0.000249, 3: 0.589038}	1
AKEVUH	Cu	2	7777	{1: 0.187137, 2: 0.00086, 3: 0.618312}	1
AKEXUJ	Cu	2	7777	{1: 0.047479, 2: 1e-06, 3: 0.718655}	2
AKIDAZ	Cu	9999	7777	{1: 0.000288, 2: 0.001588, 3: 0.881513}	1
AKITOD	Cu	2	7777	{1: 0.326058, 2: 5.5e-05, 3: 0.484403}	2
AKIYUO	Cu	2	7777	{1: 0.257117, 2: 5.8e-05, 3: 0.49775}	4
AKOCUZ	Cu	2	7777	{1: 0.303991, 2: 0.0001, 3: 0.289046}	3
AKODAF	Cu	1	7777	{1: 0.000445, 2: 0.212588, 3: 1.18827}	2
AKODUA	Cu	2	7777	{1: 0.24007, 2: 0.00018, 3: 0.457863}	2
AKONAQ	Cu	1	8888	{1: 9999, 2: 0.508711, 3: 9999}	2
AKOYOR	Cu	2	7777	{1: 0.157199, 2: 2.5e-05, 3: 0.555593}	2
AKUBAM	Cu	9999	7777	{1: 0.217263, 2: 5.8e-05, 3: 0.544211}	1
AKUFAN	Cu	2	7777	{1: 0.133271, 2: 9.3e-05, 3: 0.712427}	2
ALAFOK	Cu	2	7777	{1: 0.013483, 2: 1.6e-05, 3: 0.792697}	3
ALAFUP	Cu	2	7777	{1: 0.124143, 2: 0.042686, 3: 0.357047}	3
ALAPEI	Cu	2	7777	{1: 0.187769, 2: 4.6e-05, 3: 0.620804}	3
ALEJIN	Cu	9999	7777	{1: 0.169554, 2: 0.00046, 3: 9999}	1
ALEJOT	Cu	9999	7777	{1: 0.134976, 2: 0.000386, 3: 9999}	3
ALEJUZ	Cu	9999	7777	{1: 0.127508, 2: 0.000667, 3: 9999}	3
ALELAF	Cu	2	7777	{1: 0.08951, 2: 3e-06, 3: 9999}	3
ALELEJ	Cu	2	7777	{1: 0.076971, 2: 1.6e-05, 3: 9999}	3
ALELIN	Cu	2	7777	{1: 0.092135, 2: 2.9e-05, 3: 9999}	3
ALEMEK	Cu	2	7777	{1: 0.105634, 2: 2.7e-05, 3: 0.591998}	2
ALEPUD	Cu	2	7777	{1: 0.222185, 2: 0.038688, 3: 0.683927}	3
ALERUE	Cu	2	7777	{1: 0.266208, 2: 0.000105, 3: 0.529769}	2
ALEUCU	Cu	2	7777	{1: 0.175706, 2: 4.4e-05, 3: 0.629588}	2
ALIFAD	Cu	2	7777	{1: 0.371463, 2: 0.000253, 3: 0.662925}	4
ALIFEG	Cu	9999	7777	{1: 0.375531, 2: 0.019043, 3: 0.507131}	1
ALIFIK	Cu	9999	7777	{1: 0.38253, 2: 0.029317, 3: 0.494445}	1
ALIMOY	Cu	2	7777	{1: 0.305895, 2: 0.007745, 3: 0.370932}	1
ALIPER	Cu	1	7777	{1: 0.000744, 2: 0.440566, 3: 9999}	2
ALIQUI	Cu	2	7777	{1: 0.275609, 2: 0.017284, 3: 0.497482}	2
ALIRAP	Cu	2	7777	{1: 0.24267, 2: 0.00281, 3: 0.574049}	2
ALIROE	Cu	1	7777	{1: 0.004722, 2: 0.315022, 3: 9999}	3
ALISAQ	Cu	2	7777	{1: 0.118757, 2: 0.000143, 3: 0.74019}	3
ALISEU	Cu	2	7777	{1: 0.083872, 2: 0.000718, 3: 0.808586}	3
ALISOE	Cu	2	7777	{1: 0.120117, 2: 0.000519, 3: 0.750406}	2
ALIVUO	Cu	2	7777	{1: 0.164775, 2: 3.9e-05, 3: 0.584124}	4
ALIWAV	Cu	2	7777	{1: 0.151284, 2: 2e-05, 3: 0.61464}	4
ALIWUN	Cu	2	7777	{1: 0.062668, 2: 6e-06, 3: 0.718137}	3
ALOBEI	Cu	1	7777	{1: 0.22124, 2: 0.419711, 3: 0.856386}	2
ALOGEP	Cu	2	7777	{1: 0.221019, 2: 0.00042, 3: 0.404416}	2
ALOGIR	Cu	2	7777	{1: 0.136352, 2: 0.000452, 3: 0.525097}	2
AMALEG	Cu	2	7777	{1: 0.174079, 2: 9.9e-05, 3: 0.639318}	3
AMAMIL	Cu	2	7777	{1: 0.170122, 2: 1.5e-05, 3: 0.609751}	3
AMATUF	Cu	2	7777	{1: 0.297785, 2: 3e-06, 3: 0.535832}	2
AMEDEB	Cu	2	7777	{1: 0.00192, 2: 5.8e-05, 3: 0.850914}	4
AMEHOP	Cu	2	7777	{1: 0.154873, 2: 2.4e-05, 3: 0.665953}	2
AMEHUW	Cu	2	7777	{1: 0.221196, 2: 0.007608, 3: 0.524335}	3
AMERES	Cu	2	7777	{1: 0.153583, 2: 8.4e-05, 3: 0.679558}	4
AMETUH	Cu	9999	7777	{1: 0.00218, 2: 0.000367, 3: 0.887893}	1
AMICUW	Cu	9999	9999	{1: 9999, 2: 9999, 3: 9999}	3
AMIFEJ	Cu	2	7777	{1: 0.248852, 2: 0.00029, 3: 9999}	3
AMIMOY	Cu	2	7777	{1: 0.10291, 2: 9e-06, 3: 0.679869}	4
AMIQOE	Cu	9999	9999	{1: 9999, 2: 9999, 3: 9999}	3
AMIRAR	Cu	9999	9999	{1: 9999, 2: 9999, 3: 9999}	3
