refcode	metal	charge_cif
AVETAX	Cu	1
AVETUR	Cu	1
AVIDOA	Cu	1
AVIDUG	Cu	1
AVIFAO	Cu	1
AVIFOC	Cu	1
AVITIK02	Cu	2
AVIVAE02	Cu	2
AVIXOU	Cu	2
AVOCOE	Cu	1
AVOCUK	Cu	1
AVODAR	Cu	1
AVODEV	Cu	1
AVODIZ	Cu	1
AVODOF	Cu	1
AVODUL	Cu	2
AVOJEA	Cu	2
AVOQIL	Cu	2
AVOQOR	Cu	2
AVOWEO	Cu	2
AVOXUF	Cu	2
AVOYAM	Cu	2
AVUHUU	Cu	2
AVUJEG	Cu	2
AVUKIL	Cu	2
AVUMAH02	Cu	2
AVUPEN	Cu	2
AVUPIQ	Cu	2
AVUSAL	Cu	2
AVUTOC	Cu	1
AVUZIA	Cu	2
AWAYIG	Cu	2
AWEDUD	Cu	2
AWEJOB	Cu	2
AWEMAQ	Cu	1
AWEVUT	Cu	2
AWEWAA	Cu	2
AWIGAO	Cu	2
AWIJIZ	Cu	2
AWOCAQ	Cu	2
AWOFAU	Cu	2
AWOGEY	Cu	3
AWOJIG	Cu	2
AWOKUS	Cu	2
AWOMEF	Cu	2
AWOTIQ	Cu	2
AWOZIW	Cu	2
AWUFAA	Cu	2
AWUNEN	Cu	2
AXADUY	Cu	2
AXAHUC	Cu	2
AXAROI02	Cu	2
AXAVEC02	Cu	2
AXEDUE	Cu	1
AXEFEQ	Cu	2
AXEKUL	Cu	2
AXERUR	Cu	1
AXEVUW	Cu	1
AXEWEH	Cu	1
AXEZUZ	Cu	2
AXIHUK	Cu	2
AXIPEC	Cu	2
AXIPIG	Cu	2
AXIPOM	Cu	2
AXIQED	Cu	2
AXIRAB	Cu	2
AXOHAY	Cu	2
AXOKEF	Cu	2
AXOLAA	Cu	2
AXUSUI	Cu	2
AXUTEU	Cu	2
AXUTIY	Cu	2
AYACOS	Cu	2
AYAKOA	Cu	2
AYALIW	Cu	2
AYAMEU	Cu	2
AYAYIK	Cu	2
