refcode	metal	charge_cell2mol	charge_BVS	dictionary	unique_indices
FEFCEB	Fe	2	2	{2: 0.007441, 3: 0.712962, 4: 9999, 6: 9999}	2
FEGKEK	Fe	2	2	{2: 0.010613, 3: 0.624757, 4: 9999, 6: 9999}	2
FEGVOE	Fe	2	9999	{2: 9999, 3: 9999, 4: 9999, 6: 9999}	1
FEGWET	Fe	3	3	{2: 0.783059, 3: 0.100796, 4: 9999, 6: 9999}	1
FEJBEC	Fe	3	7777	{2: 0.00964, 3: 0.283105, 4: 9999, 6: 9999}	2
FEJKAJ	Fe	3	7777	{2: 0.188682, 3: 2.9e-05, 4: 9999, 6: 9999}	2
FEJNAK	Fe	3	7777	{2: 0.29099, 3: 5.7e-05, 4: 9999, 6: 9999}	3
FEKLUC	Fe	2	9999	{2: 9999, 3: 9999, 4: 9999, 6: 9999}	3
FEKPUG	Fe	2	9999	{2: 9999, 3: 9999, 4: 9999, 6: 9999}	4
FEKQUK	Fe	2	2	{2: 0.077775, 3: 0.859114, 4: 9999, 6: 9999}	4
FEKREV	Fe	2	2	{2: 0.040441, 3: 0.816162, 4: 9999, 6: 9999}	3
FEKSIA	Fe	2	2	{2: 0.142785, 3: 0.906526, 4: 9999, 6: 9999}	3
FEMJIS	Fe	3	7777	{2: 0.333625, 3: 7.1e-05, 4: 9999, 6: 9999}	2
FEMQIX	Fe	9999	3	{2: 9999, 3: 0.02318, 4: 9999, 6: 9999}	4
FEMTBH	Fe	3	3	{2: 0.617261, 3: 0.01811, 4: 9999, 6: 9999}	1
FEMYAA	Fe	3	7777	{2: 0.27136, 3: 0.000945, 4: 9999, 6: 9999}	2
FENCIL	Fe	2	2	{2: 5.8e-05, 3: 0.578246, 4: 9999, 6: 9999}	4
FENFEM	Fe	2	7777	{2: 0.000281, 3: 0.476017, 4: 9999, 6: 9999}	2
FENLEP	Fe	2	9999	{2: 9999, 3: 9999, 4: 9999, 6: 9999}	5
FEPHNA10	Fe	3	7777	{2: 0.209691, 3: 0.144657, 4: 9999, 6: 9999}	3
FEPICC43	Fe	2	7777	{2: 0.002193, 3: 0.092007, 4: 9999, 6: 9999}	3
FEQMAQ	Fe	2	2	{2: 0.025083, 3: 0.738564, 4: 9999, 6: 9999}	3
FERBEK	Fe	2	9999	{2: 9999, 3: 9999, 4: 9999, 6: 9999}	2
FESSEC	Fe	3	7777	{2: 0.002159, 3: 0.190853, 4: 9999, 6: 9999}	2
FESSIG	Fe	3	7777	{2: 9e-05, 3: 0.119241, 4: 9999, 6: 9999}	2
FESSOM	Fe	3	7777	{2: 0.00016, 3: 0.097333, 4: 9999, 6: 9999}	2
FESVEF	Fe	2	2	{2: 0.000296, 3: 0.748411, 4: 9999, 6: 9999}	3
FESWIM	Fe	2	2	{2: 0.000109, 3: 0.678377, 4: 9999, 6: 9999}	3
FESYAD	Fe	3	3	{2: 0.544598, 3: 0.36085, 4: 9999, 6: 9999}	3
FESYEH	Fe	3	7777	{2: 0.100078, 3: 0.000213, 4: 9999, 6: 9999}	3
FESZOS	Fe	3	7777	{2: 0.015602, 3: 0.057392, 4: 9999, 6: 9999}	3
FETPYR	Fe	2	2	{2: 0.080738, 3: 0.797091, 4: 9999, 6: 9999}	2
FETRIF	Fe	9999	3	{2: 0.892297, 3: 0.222506, 4: 9999, 6: 9999}	1
FETSCN	Fe	9999	7777	{2: 0.000325, 3: 0.495753, 4: 9999, 6: 9999}	2
FEVFET	Fe	2	8888	{2: 9999, 3: 1.269624, 4: 9999, 6: 9999}	2
FEVKAS	Fe	9999	7777	{2: 0.031098, 3: 0.000256, 4: 9999, 6: 9999}	2
FEVMIC	Fe	9999	7777	{2: 4.7e-05, 3: 0.157956, 4: 9999, 6: 9999}	3
FEWBIU	Fe	2	2	{2: 0.184728, 3: 0.96778, 4: 9999, 6: 9999}	2
FEWFUI	Fe	3	3	{2: 9999, 3: 0.274111, 4: 9999, 6: 9999}	2
FEWRAA	Fe	2	8888	{2: 9999, 3: 0.585417, 4: 9999, 6: 9999}	4
FEWREG	Fe	2	2	{2: 0.050945, 3: 0.79002, 4: 9999, 6: 9999}	4
FEWRIK	Fe	2	2	{2: 0.04933, 3: 0.798886, 4: 9999, 6: 9999}	4
FEZXUF	Fe	3	3	{2: 0.598436, 3: 0.428024, 4: 9999, 6: 9999}	2
FEZYAM	Fe	3	3	{2: 0.613723, 3: 0.450042, 4: 9999, 6: 9999}	2
FEZYUG	Fe	9999	7777	{2: 0.002324, 3: 2e-06, 4: 9999, 6: 9999}	2
FEZZOB	Fe	3	7777	{2: 0.117819, 3: 0.000969, 4: 9999, 6: 9999}	3
FEZZUH	Fe	3	7777	{2: 0.286988, 3: 0.001834, 4: 9999, 6: 9999}	2
FIBJOQ	Fe	2	2	{2: 0.087076, 3: 0.868044, 4: 9999, 6: 9999}	2
FIBRAL	Fe	3	7777	{2: 0.477525, 3: 0.25147, 4: 9999, 6: 9999}	2
FIBREQ	Fe	9999	3	{2: 9999, 3: 0.364137, 4: 9999, 6: 9999}	1
FIBRIT	Fe	3	7777	{2: 0.196298, 3: 7e-06, 4: 9999, 6: 9999}	3
FIBWOE50	Fe	3	7777	{2: 0.087648, 3: 0.001918, 4: 9999, 6: 9999}	2
FIBWUK	Fe	3	3	{2: 0.620253, 3: 0.458364, 4: 9999, 6: 9999}	2
FIFMOZ	Fe	2	2	{2: 0.002426, 3: 0.660706, 4: 9999, 6: 9999}	1
FIHFIO	Fe	3	7777	{2: 0.230135, 3: 0.000821, 4: 9999, 6: 9999}	2
FIHFUA	Fe	3	7777	{2: 0.265205, 3: 0.002417, 4: 9999, 6: 9999}	2
FIHRET	Fe	2	9999	{2: 9999, 3: 9999, 4: 9999, 6: 9999}	2
FIHXAX	Fe	3	7777	{2: 0.229491, 3: 0.098798, 4: 9999, 6: 9999}	3
FIHXEB	Fe	3	7777	{2: 0.258474, 3: 0.053154, 4: 9999, 6: 9999}	3
FIHXIF	Fe	3	7777	{2: 0.224222, 3: 0.103727, 4: 9999, 6: 9999}	3
FIJTIC	Fe	2	2	{2: 0.000133, 3: 0.577005, 4: 9999, 6: 9999}	2
FIKKEQ	Fe	2	2	{2: 0.14799, 3: 0.903782, 4: 9999, 6: 9999}	4
FIKYOP	Fe	3	3	{2: 9999, 3: 0.023046, 4: 9999, 6: 9999}	2
FILCAF	Fe	2	2	{2: 0.043366, 3: 0.754196, 4: 9999, 6: 9999}	2
FILFEM	Fe	3	7777	{2: 0.237084, 3: 0.032554, 4: 9999, 6: 9999}	3
FILSAU	Fe	3	7777	{2: 0.014149, 3: 0.066915, 4: 9999, 6: 9999}	4
FILSEY	Fe	0	9999	{2: 9999, 3: 9999, 4: 9999, 6: 9999}	2
FIMPIB	Fe	2	9999	{2: 9999, 3: 9999, 4: 9999, 6: 9999}	4
FIMPOH	Fe	3	9999	{2: 9999, 3: 9999, 4: 9999, 6: 9999}	2
FINJIV	Fe	9999	7777	{2: 0.18111, 3: 0.306076, 4: 9999, 6: 9999}	2
FINQOJ	Fe	2	2	{2: 0.000134, 3: 0.709083, 4: 9999, 6: 9999}	2
FIPMID	Fe	3	7777	{2: 0.219309, 3: 0.059755, 4: 9999, 6: 9999}	2
FIQJEV	Fe	2	2	{2: 0.000177, 3: 0.735141, 4: 9999, 6: 9999}	2
FIRBIR	Fe	3	2	{2: 0.001951, 3: 0.650193, 4: 9999, 6: 9999}	3
FISCIW	Fe	2	2	{2: 0.0465, 3: 0.757794, 4: 9999, 6: 9999}	2
FISNIG	Fe	2	2	{2: 0.100809, 3: 0.871164, 4: 9999, 6: 9999}	2
FITBIT	Fe	9999	9999	{2: 9999, 3: 9999, 4: 9999, 6: 9999}	2
