refcode	metal	charge_cell2mol	charge_BVS	dictionary	unique_indices
NITPEM	Co	2	2	{1: 9999, 2: 0.001421, 3: 1.024439, 4: 9999}	3
NIXRER	Co	9999	2	{1: 9999, 2: 1e-05, 3: 0.892885, 4: 9999}	1
NIXTUL	Co	2	2	{1: 9999, 2: 0.015674, 3: 0.90093, 4: 1.784344}	2
NIXZOK	Co	2	2	{1: 9999, 2: 0.000237, 3: 0.993044, 4: 9999}	1
NIYLEN	Co	9999	2	{1: 9999, 2: 0.00185, 3: 1.058041, 4: 9999}	2
NIYLIR	Co	2	2	{1: 9999, 2: 0.115087, 3: 1.261886, 4: 9999}	3
NIYVEY	Co	2	2	{1: 9999, 2: 0.001498, 3: 1.055124, 4: 9999}	4
NIYVUP	Co	2	2	{1: 9999, 2: 0.02042, 3: 1.029802, 4: 9999}	2
NIZDUY	Co	2	2	{1: 9999, 2: 0.00021, 3: 0.83014, 4: 9999}	1
NIZKOZ	Co	2	2	{1: 9999, 2: 0.031518, 3: 1.138761, 4: 9999}	4
NIZMOY	Co	3	7777	{1: 9999, 2: 0.370882, 3: 0.102678, 4: 9999}	3
NIZMUE	Co	3	3	{1: 9999, 2: 0.503877, 3: 0.003834, 4: 9999}	3
NIZNAL	Co	3	7777	{1: 9999, 2: 0.432577, 3: 0.024397, 4: 9999}	3
NIZNEP	Co	3	7777	{1: 9999, 2: 0.317398, 3: 0.04444, 4: 9999}	2
NIZPES	Co	2	2	{1: 9999, 2: 0.066989, 3: 0.847493, 4: 1.727939}	3
NMETCO	Co	3	7777	{1: 9999, 2: 0.362252, 3: 0.012766, 4: 9999}	3
NMGCOB10	Co	9999	3	{1: 9999, 2: 9999, 3: 0.490471, 4: 9999}	4
NOBGOD	Co	9999	3	{1: 9999, 2: 9999, 3: 0.15097, 4: 9999}	2
NOBKIZ	Co	2	2	{1: 9999, 2: 0.113543, 3: 1.211359, 4: 9999}	2
NOBKOF	Co	2	2	{1: 9999, 2: 0.018955, 3: 1.041417, 4: 9999}	2
NOBTAB	Co	2	2	{1: 9999, 2: 0.049432, 3: 1.075412, 4: 9999}	4
NOCJOE	Co	3	2	{1: 9999, 2: 0.152292, 3: 0.702999, 4: 9999}	2
NOCJOH	Co	2	2	{1: 9999, 2: 0.000273, 3: 0.988581, 4: 9999}	2
NOCKEY	Co	2	2	{1: 9999, 2: 0.314592, 3: 1.35951, 4: 9999}	2
NOCLEZ	Co	2	2	{1: 9999, 2: 0.019712, 3: 1.124586, 4: 9999}	4
NOCQAY	Co	2	2	{1: 9999, 2: 0.000248, 3: 1.005971, 4: 9999}	5
NOCQEC	Co	2	2	{1: 9999, 2: 0.068831, 3: 1.185299, 4: 9999}	1
NOCZIO	Co	9999	9999	{1: 9999, 2: 9999, 3: 9999, 4: 9999}	3
NOFCOC	Co	3	3	{1: 9999, 2: 9999, 3: 0.4569, 4: 9999}	1
NOFKOJ	Co	9999	7777	{1: 9999, 2: 0.360918, 3: 0.002139, 4: 9999}	3
NOKFAV	Co	2	2	{1: 9999, 2: 0.000405, 3: 1.056521, 4: 9999}	4
NOKGOJ	Co	3	3	{1: 9999, 2: 0.598826, 3: 0.283916, 4: 9999}	2
NOKJAY	Co	9999	7777	{1: 9999, 2: 0.247398, 3: 0.133716, 4: 9999}	2
NOKJEC	Co	9999	7777	{1: 9999, 2: 0.213378, 3: 0.177104, 4: 9999}	2
NOKJOO	Co	3	7777	{1: 9999, 2: 0.411426, 3: 0.075482, 4: 9999}	2
NOKJUU	Co	3	7777	{1: 9999, 2: 0.430858, 3: 0.100265, 4: 9999}	3
NOLVIW	Co	2	2	{1: 9999, 2: 0.010379, 3: 1.041474, 4: 9999}	3
NOMHII	Co	2	9999	{1: 9999, 2: 9999, 3: 9999, 4: 9999}	2
NOPDAZ	Co	2	2	{1: 9999, 2: 0.000107, 3: 0.977901, 4: 9999}	3
NOPDON	Co	2	2	{1: 9999, 2: 0.004634, 3: 1.060495, 4: 9999}	3
