refcode	metal	charge_cell2mol	charge_BVS	dictionary	unique_indices
VIKYAQ	Cr	3	3	{2: 9999, 3: 0.034188, 4: 9999, 5: 9999, 6: 9999}	3
VIKYOE	Cr	2	8888	{2: 9999, 3: 1.623589, 4: 9999, 5: 9999, 6: 9999}	4
VIKZOG	Cr	9999	3	{2: 1.389673, 3: 0.211312, 4: 9999, 5: 9999, 6: 9999}	3
VIMSUH	Cr	3	3	{2: 1.051328, 3: 0.059319, 4: 9999, 5: 9999, 6: 9999}	3
VINSOA	Cr	3	3	{2: 0.970042, 3: 0.147112, 4: 9999, 5: 9999, 6: 9999}	4
VIRTAR	Cr	9999	9999	{2: 9999, 3: 9999, 4: 9999, 5: 9999, 6: 9999}	2
VISMOZ	Cr	9999	9999	{2: 9999, 3: 9999, 4: 9999, 5: 9999, 6: 9999}	2
VIWMEU	Cr	3	3	{2: 1.13569, 3: 0.00725, 4: 9999, 5: 9999, 6: 9999}	4
VIYCIQ	Cr	3	3	{2: 1.176942, 3: 0.051515, 4: 9999, 5: 9999, 6: 9999}	3
VIYCOW	Cr	9999	3	{2: 1.241434, 3: 0.070873, 4: 9999, 5: 9999, 6: 9999}	3
VIYCUC	Cr	3	3	{2: 1.358263, 3: 0.181554, 4: 9999, 5: 9999, 6: 9999}	3
VOCTIQ	Cr	3	3	{2: 0.738924, 3: 0.405195, 4: 9999, 5: 9999, 6: 9999}	1
VOCXEQ	Cr	9999	3	{2: 1.56847, 3: 0.396689, 4: 9999, 5: 9999, 6: 9999}	2
VOGYOG	Cr	3	3	{2: 1.069338, 3: 0.032965, 4: 9999, 5: 9999, 6: 9999}	4
VOGYUM	Cr	3	3	{2: 1.000026, 3: 0.10379, 4: 9999, 5: 9999, 6: 9999}	4
VOQXII	Cr	3	3	{2: 1.112015, 3: 0.001496, 4: 9999, 5: 9999, 6: 9999}	2
VOQXOO	Cr	9999	3	{2: 1.11468, 3: 0.000124, 4: 9999, 5: 9999, 6: 9999}	2
VOQYAB	Cr	9999	3	{2: 1.129674, 3: 0.000271, 4: 9999, 5: 9999, 6: 9999}	4
VOQZEJ	Cr	0	9999	{2: 9999, 3: 9999, 4: 9999, 5: 9999, 6: 9999}	2
VOQZIN	Cr	0	9999	{2: 9999, 3: 9999, 4: 9999, 5: 9999, 6: 9999}	2
VOQZOT	Cr	0	9999	{2: 9999, 3: 9999, 4: 9999, 5: 9999, 6: 9999}	2
VOQZUZ	Cr	0	9999	{2: 9999, 3: 9999, 4: 9999, 5: 9999, 6: 9999}	2
VOVZOX	Cr	3	3	{2: 1.004284, 3: 0.111297, 4: 9999, 5: 9999, 6: 9999}	4
VOWRAA	Cr	0	9999	{2: 9999, 3: 9999, 4: 9999, 5: 9999, 6: 9999}	3
VOXBAL	Cr	0	9999	{2: 9999, 3: 9999, 4: 9999, 5: 9999, 6: 9999}	2
VOYJEY	Cr	0	9999	{2: 9999, 3: 9999, 4: 9999, 5: 9999, 6: 9999}	2
VOYJIC	Cr	0	9999	{2: 9999, 3: 9999, 4: 9999, 5: 9999, 6: 9999}	2
VULWUU	Cr	3	9999	{2: 9999, 3: 9999, 4: 9999, 5: 9999, 6: 9999}	1
VUTSIO	Cr	9999	9999	{2: 9999, 3: 9999, 4: 9999, 5: 9999, 6: 9999}	2
VUTTAH	Cr	2	9999	{2: 9999, 3: 9999, 4: 9999, 5: 9999, 6: 9999}	2
VUYDUO	Cr	3	3	{2: 9999, 3: 0.1829, 4: 9999, 5: 9999, 6: 9999}	1
VUYXUJ	Cr	0	9999	{2: 9999, 3: 9999, 4: 9999, 5: 9999, 6: 9999}	2
WAFBUA	Cr	2	2	{2: 0.132899, 3: 1.495936, 4: 9999, 5: 9999, 6: 9999}	3
WAFZIO	Cr	3	9999	{2: 9999, 3: 9999, 4: 9999, 5: 9999, 6: 9999}	4
WAFZOU	Cr	3	9999	{2: 9999, 3: 9999, 4: 9999, 5: 9999, 6: 9999}	4
WAFZUA	Cr	3	9999	{2: 9999, 3: 9999, 4: 9999, 5: 9999, 6: 9999}	3
WAGBEN	Cr	3	9999	{2: 9999, 3: 9999, 4: 9999, 5: 9999, 6: 9999}	4
WAGHET	Cr	3	3	{2: 1.203088, 3: 0.061697, 4: 9999, 5: 9999, 6: 9999}	4
WALYOX	Cr	3	7777	{2: 1.022537, 3: 0.026081, 4: 0.243466, 5: 1.543428, 6: 2.334576}	1
WAPKEF	Cr	2	3	{2: 1.025716, 3: 0.055627, 4: 9999, 5: 9999, 6: 9999}	3
WAPXOC	Cr	3	3	{2: 9999, 3: 0.239141, 4: 9999, 5: 9999, 6: 9999}	2
WARHIH	Cr	2	9999	{2: 9999, 3: 9999, 4: 9999, 5: 9999, 6: 9999}	1
WASRUE	Cr	3	3	{2: 1.167165, 3: 0.005386, 4: 9999, 5: 9999, 6: 9999}	3
WAVJEJ	Cr	9999	9999	{2: 9999, 3: 9999, 4: 9999, 5: 9999, 6: 9999}	2
WAVJIN	Cr	9999	9999	{2: 9999, 3: 9999, 4: 9999, 5: 9999, 6: 9999}	2
WAWKAJ	Cr	9999	9999	{2: 9999, 3: 9999, 4: 9999, 5: 9999, 6: 9999}	4
WAWKEN	Cr	9999	9999	{2: 9999, 3: 9999, 4: 9999, 5: 9999, 6: 9999}	4
WAWKIR	Cr	9999	9999	{2: 9999, 3: 9999, 4: 9999, 5: 9999, 6: 9999}	4
WAYDUY	Cr	9999	8888	{2: 2.654664, 3: 1.40974, 4: 9999, 5: 9999, 6: 9999}	3
WAYFEK	Cr	9999	8888	{2: 2.657849, 3: 1.408863, 4: 9999, 5: 9999, 6: 9999}	3
WAYGOU	Cr	3	3	{2: 1.093859, 3: 0.002972, 4: 9999, 5: 9999, 6: 9999}	2
WAYGUB	Cr	9999	8888	{2: 2.675364, 3: 1.429351, 4: 9999, 5: 9999, 6: 9999}	3
WAYHAI	Cr	9999	8888	{2: 2.58159, 3: 1.340511, 4: 9999, 5: 9999, 6: 9999}	3
WAYHEM	Cr	9999	8888	{2: 9999, 3: 1.378182, 4: 9999, 5: 9999, 6: 9999}	3
WAYHIQ	Cr	9999	8888	{2: 2.656423, 3: 1.407346, 4: 9999, 5: 9999, 6: 9999}	3
WAYHOW	Cr	9999	8888	{2: 2.651529, 3: 1.40677, 4: 9999, 5: 9999, 6: 9999}	3
WAYJAK	Cr	9999	8888	{2: 2.692277, 3: 1.441466, 4: 9999, 5: 9999, 6: 9999}	3
WAYJIS	Cr	9999	8888	{2: 2.667975, 3: 1.418434, 4: 9999, 5: 9999, 6: 9999}	3
WESLAH	Cr	3	3	{2: 0.893197, 3: 0.219417, 4: 9999, 5: 9999, 6: 9999}	5
WEVFAH	Cr	9999	9999	{2: 9999, 3: 9999, 4: 9999, 5: 9999, 6: 9999}	4
WEWBAB	Cr	9999	9999	{2: 9999, 3: 9999, 4: 9999, 5: 9999, 6: 9999}	2
WIBGUJ	Cr	9999	8888	{2: 2.044088, 3: 0.883946, 4: 9999, 5: 9999, 6: 9999}	3
WIMNIR	Cr	3	9999	{2: 9999, 3: 9999, 4: 9999, 5: 9999, 6: 9999}	2
WIWMEU	Cr	9999	3	{2: 1.38489, 3: 0.20678, 4: 9999, 5: 9999, 6: 9999}	2
WIWMIY	Cr	9999	3	{2: 1.435477, 3: 0.254705, 4: 9999, 5: 9999, 6: 9999}	4
WOCDUN	Cr	0	9999	{2: 9999, 3: 9999, 4: 9999, 5: 9999, 6: 9999}	2
WODSIR	Cr	0	9999	{2: 9999, 3: 9999, 4: 9999, 5: 9999, 6: 9999}	2
WOFZOG	Cr	0	9999	{2: 9999, 3: 9999, 4: 9999, 5: 9999, 6: 9999}	3
WOZWAJ	Cr	9999	3	{2: 1.331032, 3: 0.155756, 4: 9999, 5: 9999, 6: 9999}	2
WUCKUC	Cr	3	3	{2: 1.241494, 3: 0.060783, 4: 9999, 5: 9999, 6: 9999}	2
WUFVIC	Cr	3	9999	{2: 9999, 3: 9999, 4: 9999, 5: 9999, 6: 9999}	3
WUFVOI	Cr	3	9999	{2: 9999, 3: 9999, 4: 9999, 5: 9999, 6: 9999}	3
WUGPIX	Cr	9999	9999	{2: 9999, 3: 9999, 4: 9999, 5: 9999, 6: 9999}	4
WUKDOV	Cr	3	3	{2: 0.785735, 3: 0.331746, 4: 9999, 5: 9999, 6: 9999}	4
WUNBAL	Cr	2	3	{2: 1.25232, 3: 0.069229, 4: 9999, 5: 9999, 6: 9999}	2
WUNCAK	Cr	2	2	{2: 0.003111, 3: 9999, 4: 9999, 5: 9999, 6: 9999}	3
WUNCEO	Cr	2	2	{2: 0.000325, 3: 9999, 4: 9999, 5: 9999, 6: 9999}	3
WUNCOY	Cr	2	9999	{2: 9999, 3: 9999, 4: 9999, 5: 9999, 6: 9999}	2
WURPEF	Cr	3	3	{2: 1.192359, 3: 0.01441, 4: 9999, 5: 9999, 6: 9999}	3
WUTDEW	Cr	2	2	{2: 0.25603, 3: 0.86268, 4: 9999, 5: 9999, 6: 9999}	3
XACDOX	Cr	3	3	{2: 1.111122, 3: 0.009439, 4: 9999, 5: 9999, 6: 9999}	2
XALFEV	Cr	0	9999	{2: 9999, 3: 9999, 4: 9999, 5: 9999, 6: 9999}	2
XALFIZ	Cr	0	9999	{2: 9999, 3: 9999, 4: 9999, 5: 9999, 6: 9999}	2
XATMOU	Cr	3	3	{2: 1.40278, 3: 0.212991, 4: 9999, 5: 9999, 6: 9999}	3
XECSEF	Cr	9999	9999	{2: 9999, 3: 9999, 4: 9999, 5: 9999, 6: 9999}	2
XEFXEM	Cr	2	9999	{2: 9999, 3: 9999, 4: 9999, 5: 9999, 6: 9999}	2
XEFXOW	Cr	2	9999	{2: 9999, 3: 9999, 4: 9999, 5: 9999, 6: 9999}	2
XEFXUC	Cr	2	9999	{2: 9999, 3: 9999, 4: 9999, 5: 9999, 6: 9999}	2
XEFYAJ	Cr	3	9999	{2: 9999, 3: 9999, 4: 9999, 5: 9999, 6: 9999}	3
XEMSAK	Cr	2	8888	{2: 9999, 3: 1.072389, 4: 9999, 5: 9999, 6: 9999}	3
XEMSUD	Cr	0	9999	{2: 9999, 3: 9999, 4: 9999, 5: 9999, 6: 9999}	2
XEMTAK	Cr	0	9999	{2: 9999, 3: 9999, 4: 9999, 5: 9999, 6: 9999}	2
XEMTEO	Cr	0	9999	{2: 9999, 3: 9999, 4: 9999, 5: 9999, 6: 9999}	2
XEMTIS	Cr	0	9999	{2: 9999, 3: 9999, 4: 9999, 5: 9999, 6: 9999}	2
XEMVOA	Cr	0	9999	{2: 9999, 3: 9999, 4: 9999, 5: 9999, 6: 9999}	2
XENQAJ	Cr	3	9999	{2: 9999, 3: 9999, 4: 9999, 5: 9999, 6: 9999}	2
XETGUY	Cr	3	3	{2: 1.075675, 3: 0.020329, 4: 9999, 5: 9999, 6: 9999}	4
XEZLIX	Cr	3	3	{2: 0.987344, 3: 0.126587, 4: 9999, 5: 9999, 6: 9999}	2
XEZXUY	Cr	9999	7777	{2: 1.175736, 3: 0.006725, 4: 0.057734, 5: 1.369568, 6: 2.150211}	1
XEZYAF	Cr	9999	7777	{2: 1.163425, 3: 0.001929, 4: 0.073017, 5: 1.383459, 6: 2.164941}	2
XIGCOF	Cr	0	7777	{2: 1.383132, 3: 0.187837, 4: 0.071269, 5: 1.135731, 6: 1.902245}	2
XILJEH	Cr	2	9999	{2: 9999, 3: 9999, 4: 9999, 5: 9999, 6: 9999}	2
XIRGIQ	Cr	2	9999	{2: 9999, 3: 9999, 4: 9999, 5: 9999, 6: 9999}	2
XIWBEK	Cr	3	3	{2: 0.99047, 3: 0.127014, 4: 9999, 5: 9999, 6: 9999}	4
XIWTON	Cr	3	3	{2: 1.126148, 3: 0.00441, 4: 9999, 5: 9999, 6: 9999}	2
XIWYAD	Cr	9999	4	{2: 1.800717, 3: 0.581316, 4: 0.346713, 5: 0.688866, 6: 1.42838}	2
